"taxon","estimate_gamma","std_error_gamma","pval_gamma","pval_adj_gamma","estimate_no_gamma","pval_adj_no_gamma","comparison"
"1",1.14185075870759,0.248738203052026,0.0239185329675763,0.0239185329675763,1.17175020335412,4.70642762008338e-05,"pup vs you"
"2",1.87483880937179,0.233243780443369,4.0218502057339e-07,4.0218502057339e-07,1.90675011404489,3.23700961378297e-13,"pup vs you"
"3",5.69445705633195,0.393416607470741,4.33781612749619e-28,4.33781612749619e-28,5.72215094438749,2.1278966379048e-33,"pup vs you"
"4",-3.69679613912243,0.186916405218229,0,0,-3.66475715282819,0,"pup vs you"
"5",2.75733523056574,0.331994721220891,1.70932420229103e-09,1.70932420229103e-09,2.78573550557991,1.1199085153273e-13,"pup vs you"
"6",-3.26816678498091,0.229885801847874,0,0,-3.2410110222311,0,"pup vs you"
"7",-5.98851850894366,0.302194173414401,0,0,-5.96644283264909,0,"pup vs you"
"8",-3.88609451878219,0.32296803455771,0,0,-3.85476875949192,0,"pup vs you"
"9",-0.87924894240828,0.202031738701695,0.0590096617804955,0.0590096617804955,-0.848450221356552,0.000272281557163916,"pup vs you"
"10",4.23766099119084,0.434509228745065,2.0415431455629e-14,2.0415431455629e-14,4.2698355205098,7.65159524170748e-18,"pup vs you"
"11",-4.81586180785402,0.258797824867999,0,0,-4.78497908798991,0,"pup vs you"
"12",3.02684528407004,0.343495311864468,6.14263277302035e-11,6.14263277302035e-11,3.0576725377373,3.21006740245922e-15,"pup vs you"
"13",1.08002635042273,0.229265054833219,0.0282374417329432,0.0282374417329432,1.10909759948574,2.71330388147364e-05,"pup vs you"
"14",-4.16169781691169,0.246754801001798,0,0,-4.13850090538574,0,"pup vs you"
"15",-2.7089355851605,0.356488072280243,1.85324676983547e-08,1.85324676983547e-08,-2.65703078436833,1.54188220439236e-11,"pup vs you"
"16",-4.34330848352244,0.240808361884235,0,0,-4.31873529552945,0,"pup vs you"
"17",-1.94341812803355,0.458262226732224,0.00583574095847168,0.00583574095847168,-1.92409418135164,0.00102331280446683,"pup vs you"
"18",1.25838067345869,0.23670850848634,0.00563760972054823,0.00563760972054823,1.29199624092315,1.52490707767485e-06,"pup vs you"
"19",-3.25265254049245,0.321222198758029,1.25106528492011e-14,1.25106528492011e-14,-3.23708753443651,0,"pup vs you"
"20",-0.655080657969457,0.222535804276429,0.225272183821809,0.225272183821809,-0.622846501640127,0.0316322502768387,"pup vs you"
"21",-4.37907339632106,0.251801545914861,0,0,-4.34864564007435,0,"pup vs you"
"22",-4.44600918269857,0.304535004644912,0,0,-4.41557992432443,0,"pup vs you"
"23",-3.87062837175743,0.249289703497302,0,0,-3.84177823273911,0,"pup vs you"
"24",3.08607168503884,0.464427290240893,5.1015197209041e-07,5.1015197209041e-07,3.12740253973968,4.73751423050538e-09,"pup vs you"
"25",-3.0174095436795,0.35135192567641,6.34821061083514e-11,6.34821061083514e-11,-2.98958971667096,3.17070265915569e-14,"pup vs you"
"26",-4.62377006197748,0.329803365781407,0,0,-4.59294734805735,0,"pup vs you"
"27",-2.91363063043629,0.303798372844429,5.06457457511564e-12,5.06457457511564e-12,-2.88543115429391,2.61849476035959e-17,"pup vs you"
"28",2.92886047190769,0.445407115495596,5.76217179185312e-07,5.76217179185312e-07,2.96142155113682,1.01471403173059e-08,"pup vs you"
"29",-4.93184574473063,0.236555212944539,0,0,-4.90877447886798,0,"pup vs you"
"30",-2.88769657031909,0.22883680614813,0,0,-2.85380586089877,0,"pup vs you"
"31",-4.68286169846801,0.456137258213147,6.71845975897534e-16,6.71845975897534e-16,-4.68719148583009,0,"pup vs you"
"32",-4.00246792421159,0.238924831705371,0,0,-3.96973011509855,0,"pup vs you"
"33",3.18041135332542,0.454941234979815,8.84010550339232e-08,8.84010550339232e-08,3.22323992727383,7.50320851224676e-10,"pup vs you"
"34",1.27198766634921,0.332462223675143,0.0346094887614101,0.0346094887614101,1.30165681682396,0.00113707147283218,"pup vs you"
"35",1.19788438441382,0.275009298437612,0.0266006065298879,0.0266006065298879,1.22830504565303,0.00013898953578807,"pup vs you"
"36",-4.04604143641807,0.206671444032646,0,0,-4.01400824765053,0,"pup vs you"
"37",-2.37816433251732,0.287692863034275,5.38624424377503e-09,5.38624424377503e-09,-2.34696917170932,2.19987473323199e-13,"pup vs you"
"38",1.28707661017222,0.265863265567699,0.0095082089702527,0.0095082089702527,1.31104202874977,1.87001689363932e-05,"pup vs you"
"39",-0.0161287669695568,0.378282814841675,0.892659031164863,0.892659031164863,0.0105887818836733,1,"pup vs you"
"40",1.06877328242726,0.358269229030624,0.128309355853073,0.128309355853073,1.09435837414934,0.019806700783666,"pup vs you"
"41",-2.2535927989678,0.48759938521843,0.00203810002659768,0.00203810002659768,-2.22721046015772,0.000373455834604655,"pup vs you"
"42",1.47781902061767,0.361173712271616,0.0224160158360603,0.0224160158360603,1.51440935334272,0.000434975372907609,"pup vs you"
"43",-1.71793031090297,0.375702913114231,0.00283729934804603,0.00283729934804603,-1.68162065408247,0.000125633207187483,"pup vs you"
"44",-0.349356327445517,0.284541323633589,0.624145689221166,0.624145689221166,-0.312065235858481,0.947448852103506,"pup vs you"
"45",-2.36768974751789,0.462071444218185,0.000703953193757294,0.000703953193757294,-2.34816257424799,4.18086509742723e-05,"pup vs you"
"46",0.886614408319437,0.326494331081998,0.204002137748,0.204002137748,0.917880596253092,0.0346995845839152,"pup vs you"
"47",-2.32762170981491,0.446418574517226,0.000187760650934815,0.000187760650934815,-2.26791978928925,1.12045799113439e-05,"pup vs you"
"48",-0.516186772374222,0.42496163752823,0.646445548186793,0.646445548186793,-0.538580866539919,0.707528022278516,"pup vs you"
"49",-4.799325609126,0.28312359211544,0,0,-4.78032291460475,0,"pup vs you"
"50",-3.57069565604432,0.277941989976465,0,0,-3.53219956852932,0,"pup vs you"
"51",0.777526469143791,0.336847193931901,0.293170385295895,0.293170385295895,0.808961564449223,0.0927260466266066,"pup vs you"
"52",-2.01580229491305,0.2935719579556,2.96661906823038e-06,2.96661906823038e-06,-1.98979343130681,1.95501994272441e-09,"pup vs you"
"53",-2.60244406600272,0.400666732032514,2.59144370629021e-06,2.59144370629021e-06,-2.61265900869721,3.42924909272074e-08,"pup vs you"
"54",-0.878578325997863,0.401951530005754,0.324382483288705,0.324382483288705,-0.84345100981277,0.212992535070776,"pup vs you"
"55",-3.47703961019742,0.370150015395541,3.14140602492257e-12,3.14140602492257e-12,-3.4305107743975,7.20366312653465e-16,"pup vs you"
"56",2.96122691171954,0.306552392989904,1.66585638378094e-12,1.66585638378094e-12,2.99301294684952,2.76828491820521e-16,"pup vs you"
"57",1.0198041940489,0.444291047396944,0.265894021490379,0.265894021490379,1.05586420870257,0.112432506773498,"pup vs you"
"58",-2.90626664675223,0.295843178390242,4.30676461522418e-13,4.30676461522418e-13,-2.87693639697037,0,"pup vs you"
"59",1.73143878676671,0.287358378124448,0.000356255789362801,0.000356255789362801,1.7691964511316,6.83466993556102e-08,"pup vs you"
"60",-1.41900584126106,0.403020534862264,0.0457342825538868,0.0457342825538868,-1.39590356232739,0.00601723370857885,"pup vs you"
"61",-2.73871769511452,0.264974776531067,5.81806931383915e-13,5.81806931383915e-13,-2.68380914419587,0,"pup vs you"
"62",0.620729182787424,0.242967379812183,0.288244345195875,0.288244345195875,0.649381579120981,0.0482161482171271,"pup vs you"
"63",-2.23304878136381,0.294974476822665,4.3817372483971e-07,4.3817372483971e-07,-2.18223358039019,2.99445224821178e-10,"pup vs you"
"64",-4.09790499772832,0.424061975769161,3.24633943006657e-12,3.24633943006657e-12,-4.08631861609581,2.28674615627327e-14,"pup vs you"
"65",2.38544719075599,0.326285304943139,3.4866361565049e-07,3.4866361565049e-07,2.43753987769615,4.67592017927894e-10,"pup vs you"
"66",-1.8582082240742,0.29317914021179,3.25205596963882e-05,3.25205596963882e-05,-1.83098502045164,2.55952453817577e-08,"pup vs you"
"67",6.52068257497022,0.491005832194441,4.91757545707021e-25,4.91757545707021e-25,6.53580886757414,1.98484409919818e-25,"pup vs you"
"68",-1.16989516402147,0.322350460735058,0.0588685051376418,0.0588685051376418,-1.16134812753974,0.00439034243838227,"pup vs you"
"69",0.201772851025661,0.349264833791134,0.752205395942384,0.752205395942384,0.25310968126391,0.905296138934167,"pup vs you"
"70",-1.85019506382984,0.427500332492521,0.00559333516640095,0.00559333516640095,-1.8659478039032,0.000489042856661891,"pup vs you"
"71",-2.49720873819868,0.454641813878542,0.000148745900969792,0.000148745900969792,-2.45121442442212,2.49918078143232e-05,"pup vs you"
"72",1.61399551994217,0.293275465944572,0.00101711580404664,0.00101711580404664,1.64061225144715,3.47959619365985e-06,"pup vs you"
"73",-0.790670827710766,0.440538463792028,0.458886317454424,0.458886317454424,-0.759520127571493,0.447110444629425,"pup vs you"
"74",-4.13529622393972,0.414188814961714,1.26909569665014e-12,1.26909569665014e-12,-4.14009841676611,7.507456496474e-16,"pup vs you"
"75",1.14014496061423,0.349056832883428,0.0878002670753691,0.0878002670753691,1.15281163161705,0.0117773282191581,"pup vs you"
"76",2.9571511937063,0.535602029238447,0.000132091540587617,0.000132091540587617,2.95676094470163,1.74853609109233e-05,"pup vs you"
"77",-3.76513447160947,0.269239513107312,0,0,-3.74190525187386,0,"pup vs you"
"78",0.903475991845697,0.486066072285254,0.379811913805973,0.379811913805973,0.95673123957428,0.256438114187402,"pup vs you"
"79",1.9040364172119,0.415625135322577,0.00358978626462722,0.00358978626462722,1.95353312190331,0.000261067753473961,"pup vs you"
"80",-0.426108052021952,0.247299675375028,0.476451089791449,0.476451089791449,-0.394212105645596,0.508918838549159,"pup vs you"
"81",2.52102588942576,0.266289086297154,2.93727056497561e-11,2.93727056497561e-11,2.54816503140267,1.53046860252649e-16,"pup vs you"
