"aldex_norm","edger_norm","comparison","n_kept","n_sig_aldex","n_sig_edger","n_both","n_aldex_only","n_edger_only"
"CLR","TMM","kin vs pup",185,25,85,23,2,62
"CLR","TMM","kin vs mid",179,66,113,54,12,59
"CLR","TMM","kin vs you",160,111,137,109,2,28
"CLR","TMM","kin vs mage",166,41,89,39,2,50
"CLR","TMM","kin vs eld",156,77,121,73,4,48
"CLR","TMM","kin vs cent",227,122,162,107,15,55
"CLR","TMM","pup vs mid",207,73,113,72,1,41
"CLR","TMM","pup vs you",165,122,148,121,1,27
"CLR","TMM","pup vs mage",218,61,119,52,9,67
"CLR","TMM","pup vs eld",220,132,176,123,9,53
"CLR","TMM","pup vs cent",173,98,139,82,16,57
"CLR","TMM","mid vs you",186,106,151,91,15,60
"CLR","TMM","mid vs mage",202,29,101,25,4,76
"CLR","TMM","mid vs eld",209,86,143,75,11,68
"CLR","TMM","mid vs cent",238,99,158,75,24,83
"CLR","TMM","you vs mage",186,100,146,98,2,48
"CLR","TMM","you vs eld",189,25,80,23,2,57
"CLR","TMM","you vs cent",190,101,158,100,1,58
"CLR","TMM","mage vs eld",173,44,116,44,0,72
"CLR","TMM","mage vs cent",251,100,162,91,9,71
"CLR","TMM","eld vs cent",252,63,153,61,2,92
"CLR","TMMwsp","kin vs pup",185,25,87,25,0,62
"CLR","TMMwsp","kin vs mid",179,66,115,54,12,61
"CLR","TMMwsp","kin vs you",160,111,141,108,3,33
"CLR","TMMwsp","kin vs mage",166,41,89,38,3,51
"CLR","TMMwsp","kin vs eld",156,77,117,73,4,44
"CLR","TMMwsp","kin vs cent",227,122,156,103,19,53
"CLR","TMMwsp","pup vs mid",207,73,111,72,1,39
"CLR","TMMwsp","pup vs you",165,122,152,120,2,32
"CLR","TMMwsp","pup vs mage",218,61,124,48,13,76
"CLR","TMMwsp","pup vs eld",220,132,180,122,10,58
"CLR","TMMwsp","pup vs cent",173,98,138,83,15,55
"CLR","TMMwsp","mid vs you",186,106,153,97,9,56
"CLR","TMMwsp","mid vs mage",202,29,108,25,4,83
"CLR","TMMwsp","mid vs eld",209,86,145,78,8,67
"CLR","TMMwsp","mid vs cent",238,99,156,79,20,77
"CLR","TMMwsp","you vs mage",186,100,149,99,1,50
"CLR","TMMwsp","you vs eld",189,25,78,22,3,56
"CLR","TMMwsp","you vs cent",190,101,153,97,4,56
"CLR","TMMwsp","mage vs eld",173,44,114,43,1,71
"CLR","TMMwsp","mage vs cent",251,100,159,87,13,72
"CLR","TMMwsp","eld vs cent",252,63,156,61,2,95
"CLR","RLE","kin vs pup",185,25,85,19,6,66
"CLR","RLE","kin vs mid",179,66,114,55,11,59
"CLR","RLE","kin vs you",160,111,131,107,4,24
"CLR","RLE","kin vs mage",166,41,83,37,4,46
"CLR","RLE","kin vs eld",156,77,125,73,4,52
"CLR","RLE","kin vs cent",227,122,174,94,28,80
"CLR","RLE","pup vs mid",207,73,131,70,3,61
"CLR","RLE","pup vs you",165,122,154,120,2,34
"CLR","RLE","pup vs mage",218,61,124,36,25,88
"CLR","RLE","pup vs eld",220,132,179,107,25,72
