"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
-1,"cent vs mage",0.126728110599078,110,666,92,0,249,1.73847878452168,0.121424783991134,0.254002532901808,1.38468814685175,0.459693158973526,0.569377219774732,0.305334859254245,0.591897794606434,0.938169594918585,2.53676737680419,2.08371993801648,0.501364663547685
-1,"eld vs kin",0.371764705882353,158,214,53,0,692,0.826203857027765,0.0993546478220887,0.0975940849204107,1.07053302814555,0.437337088923446,0.444926361971871,0.751292043943042,0.750256495996692,0.980543833921852,1.53427235956006,1.49440802008161,0.149889502017823
-0.9,"cent vs mage",0.135416666666667,104,576,88,0,349,1.516708434056,0.11143218138481,0.264434712898297,1.31386766544321,0.453059824984982,0.587607459520535,0.331170026077248,0.630557340089562,0.932265886717136,2.3053096562443,1.80321840592223,0.546275214782983
-0.9,"eld vs kin",0.382352941176471,156,197,55,0,709,0.771121670203933,0.0965979619853564,0.0933906851189667,1.02677271555826,0.420150545047757,0.445678250898804,0.793728514404044,0.806532686362085,0.983812126978621,1.42580230977539,1.34339825230207,0.174942589528182
-0.8,"cent vs mage",0.183767228177642,120,455,78,0,464,1.33564629224976,0.119184517371797,0.262838523235427,1.22604910698453,0.442332784710648,0.58817462686026,0.433583768829417,0.68317179599313,0.9446725391241,2.02131280114223,1.58522058980137,0.469890952109871
-0.8,"eld vs kin",0.412868632707775,154,164,55,0,744,0.624224600541804,0.0967182927180013,0.0983960571914461,0.91170173371756,0.426502101820194,0.445124064127946,0.786564292427837,0.822209479466306,0.994162041394431,1.28040845050884,1.17464286517446,0.15784318598154
-0.7,"cent vs mage",0.201376936316695,117,386,78,0,536,1.17648808568347,0.122550946465148,0.24908429802464,1.1381106554184,0.451193678575951,0.581490675901349,0.465827527431696,0.716449501788247,0.943525447742529,1.84262295036833,1.39407136331538,0.484322043449321
-0.7,"eld vs kin",0.50609756097561,166,119,41,2,789,0.49114130426157,0.099052960845812,0.0996078200967196,0.814852288565896,0.42615935292012,0.440389187082085,0.859041413135061,0.868837443504404,0.995487278644303,1.02692506667324,0.994768977512231,0.122052439092669
-0.6,"cent vs mage",0.279569892473118,130,271,64,0,652,0.937671643095123,0.117989240364575,0.250167167633519,1.01240160135948,0.457359566771355,0.565030811163312,0.572238153903991,0.772239207039659,0.953207092237859,1.55916736178548,1.12923671085949,0.452379491720904
-0.6,"eld vs kin",0.547231270358306,168,97,41,1,810,0.394413252340255,0.0982181661104371,0.0889043277501147,0.737700378509815,0.447525907945394,0.424678052327304,0.87266442972269,0.890525393121571,0.995150214545352,0.906186762555088,0.830117741844619,0.138012045465614
-0.5,"cent vs mage",0.306791569086651,131,235,61,0,690,0.803306942201199,0.117732970888013,0.270814029911376,0.941670778016853,0.437008300198026,0.580352163372313,0.649232278228456,0.851762945622909,0.944003510366057,1.34866625567005,0.88297043722489,0.482079893373838
-0.5,"eld vs kin",0.598615916955017,173,78,38,0,828,0.321027719226825,0.095411057259905,0.0978842869607159,0.662229545402828,0.429574285406878,0.433436129626752,0.897111650121364,0.920155495407362,0.993965501127463,0.780294382396101,0.661353984804462,0.161023527195327
-0.4,"cent vs mage",0.382198952879581,146,185,51,0,735,0.649939667330524,0.123728993798858,0.26124326787137,0.850110358489874,0.447007169872374,0.583092526473741,0.71075942077631,0.889637745703385,0.942958388301207,1.1750647906929,0.694377713553378,0.495047945021694
