"constant","median_log_coeff","median_log_clr","median_log_tss","mean_log_coeff","mean_log_clr","mean_log_tss","n_all3","n_coeff_only","n_clr_only","n_tss_only","robustness","replicate"
-1,1.09962798888356,0.200449400940867,0.308502156434333,1.61379772297245,0.569887902464459,0.650121844835134,17,407,72,0,0.0342741935483871,0
-0.9,1.01800767504679,0.175313339970739,0.231470587501414,1.46903318929685,0.726442920026789,0.563640287085478,49,332,79,0,0.106521739130435,0
-0.8,0.895006567942096,0.217829246940289,0.237938763901186,1.43623790658657,0.623793091772801,0.567894210440133,49,291,56,0,0.123737373737374,0
-0.7,0.720705361097456,0.193205275829588,0.256959969432907,1.03692356025218,0.601645324234192,0.604753858535206,62,161,52,0,0.225454545454545,0
-0.6,0.600446004582489,0.1757967779111,0.218888604943388,0.951195068136704,0.569314515046903,0.5324235956001,49,134,60,1,0.200819672131148,0
-0.5,0.400010731181222,0.209160733893126,0.282415047854006,0.811154654288259,0.573681844219684,0.581830924214987,56,107,39,0,0.277227722772277,0
-0.4,0.476933240923694,0.173654747022484,0.256063045047894,0.797146863919649,0.623008704043189,0.512985219154823,41,94,66,0,0.203980099502488,0
-0.3,0.418579922602479,0.175687268970009,0.312306087479066,0.689797073229737,0.672814321352687,0.686701704723458,75,37,42,10,0.457317073170732,0
-0.2,0.492022886916717,0.177155502312669,0.316716181497627,0.915150512312456,0.735271949705251,0.649380344307786,90,109,49,0,0.362903225806452,0
-0.1,0.300647473320362,0.193038134425259,0.264977684100785,0.60652089649715,0.535227977674195,0.692649628481274,76,25,12,38,0.503311258278146,0
0,0.308191337307947,0.194316763616095,0.254884456481172,0.721790797927977,0.552097172343383,0.51663834853982,82,55,8,0,0.56551724137931,0
0.1,0.194543960057478,0.207367637017751,0.354565951700586,0.595684984495927,0.602942060448217,0.682505699360803,57,37,4,59,0.363057324840764,0
0.2,0.1845299499608,0.202817677690201,0.270855504714121,0.599851011497272,0.521269483662894,0.577081911080456,72,42,0,27,0.51063829787234,0
0.3,0.23248071026871,0.198495837942719,0.258118012749607,0.52322621783396,0.602016216527152,0.587129223268947,76,11,20,18,0.608,0
0.4,0.199915908314453,0.179802386522752,0.288661174002158,0.519971710532654,0.639038623526157,0.633669725206118,77,6,24,37,0.534722222222222,0
0.5,0.177298087522767,0.208515673738259,0.240924005914503,0.636540451347308,0.550732266924931,0.611699226240312,70,30,32,20,0.460526315789474,0
0.6,0.228809085567471,0.181837462472939,0.252317394123625,0.858064833227546,0.643855682408152,0.560338447534711,56,79,17,30,0.307692307692308,0
0.7,0.245361628611483,0.191650858021493,0.278969028368482,0.843657864435415,0.736604126277928,0.639659901043079,66,67,24,32,0.349206349206349,0
0.8,0.302091076802623,0.183979528842313,0.276235075480562,0.85089322393775,0.631953981283855,0.68953263403975,58,70,22,60,0.276190476190476,0
0.9,0.290915023373962,0.202083741719822,0.272972710047675,0.859461511444511,0.622449970106252,0.606408888540032,74,56,21,25,0.420454545454545,0
1,0.255769409873466,0.183716336885746,0.272322867252407,0.638584350896901,0.699996982004666,0.673737300261907,56,46,26,57,0.302702702702703,0
-1,0.938240201900707,0.200521983725031,0.253654524500725,1.35083352273936,0.518896107082051,0.574879546803802,37,275,48,9,0.100271002710027,1
-0.9,0.886229513760154,0.20039247465213,0.272453969674982,1.34903184702742,0.47997938052629,0.672842016054823,52,268,31,12,0.143250688705234,1
-0.8,0.853851158712526,0.185325463075174,0.265462063389327,1.2732581216197,0.593068893442205,0.556807617518652,35,263,69,0,0.0953678474114441,1
-0.7,0.890738946228113,0.188769084459573,0.29443304205396,1.28489821111431,0.668108097105192,0.486912136389111,29,265,75,0,0.0785907859078591,1
-0.6,0.803579071177615,0.188507698932122,0.28186635305989,1.13852914118486,0.638129393243391,0.58705227778578,49,191,59,0,0.163879598662207,1
-0.5,0.652907241039085,0.184483455582567,0.291059194373666,1.0518822505187,0.642800539792311,0.630120521724341,68,152,56,0,0.246376811594203,1
-0.4,0.529534589870114,0.184700502584262,0.267519510659046,0.771379666667263,0.569393168078556,0.604765481182823,58,93,33,0,0.315217391304348,1
-0.3,0.406308673388617,0.198491782147181,0.257964427892087,0.799168848616326,0.592179404405922,0.577202329777496,73,89,35,0,0.370558375634518,1
-0.2,0.323505551609415,0.240222928757476,0.257123035999272,0.759948231297138,0.627625019595786,0.581008846896928,93,62,14,1,0.547058823529412,1
-0.1,0.373875101740212,0.182026570630723,0.253403653125013,0.715339420469706,0.614068384743706,0.680971609190724,75,51,36,3,0.454545454545455,1
0,0.210150972419353,0.210151817170411,0.289846734135386,0.558817169490399,0.603583118891581,0.677948734022988,76,19,16,19,0.584615384615385,1
0.1,0.257741421497142,0.195262167366145,0.242038332188747,0.643154689869237,0.618091342957847,0.5369902572687,58,56,13,4,0.442748091603053,1
0.2,0.188717490703293,0.204470815500982,0.285524723165832,0.60028045050473,0.552313976949918,0.632317606334537,73,51,10,11,0.503448275862069,1
0.3,0.175593853062113,0.216810048808248,0.256706661081209,0.527025171031474,0.580466757945776,0.574003726882296,77,17,8,20,0.631147540983607,1
0.4,0.15108572246006,0.187817373179169,0.272906902654766,0.747898228163027,0.633894701623345,0.621174026736147,103,42,3,12,0.64375,1
0.5,0.174453399032338,0.188770232252204,0.253489430327119,0.607321471068561,0.612749265424752,0.505807240970271,61,53,0,3,0.521367521367521,1
0.6,0.206971436262307,0.206548425043005,0.240696443191925,0.715629502827707,0.56674112709093,0.614383509814949,70,45,20,29,0.426829268292683,1
0.7,0.201415907371307,0.18033867866066,0.279557010694646,0.650106783929763,0.678071266327743,0.648568925979076,75,27,5,38,0.517241379310345,1
0.8,0.270856576581077,0.200747289137672,0.246088700180511,0.788818170061825,0.513572136283973,0.585243977433025,46,72,14,53,0.248648648648649,1
0.9,0.308407996141899,0.199890352072888,0.262920699858828,0.86114164701043,0.542100552333254,0.733780171520514,74,59,9,70,0.349056603773585,1
1,0.394045627916271,0.206169453978014,0.229960855797924,0.91130147092888,0.56755132192775,0.66372014717075,75,80,5,50,0.357142857142857,1
-1,1.16535959979238,0.18821862872772,0.347483490666916,1.68350092089808,0.62360735434716,0.739742203522018,38,443,69,0,0.0690909090909091,2
-0.9,1.06566569788386,0.197572733461924,0.271459496061318,1.52605032063791,0.606785104213083,0.627347112556475,42,358,63,0,0.0907127429805616,2
-0.8,0.956063281032769,0.200491075944922,0.301269534519187,1.46283476703333,0.585097218841819,0.669084238123586,52,316,56,1,0.122352941176471,2
-0.7,0.711420645424925,0.19655895962882,0.282608830463305,1.13354196833352,0.56173206789171,0.669768112598388,52,201,46,1,0.173333333333333,2
-0.6,0.782883718627911,0.193337255182184,0.259017783614094,1.26455686071875,0.594313588904107,0.56256515156771,52,237,54,0,0.151603498542274,2
-0.5,0.486523067312176,0.185193353935428,0.247430605181756,0.763914437311739,0.599838095409599,0.582999911720642,67,58,48,0,0.38728323699422,2
-0.4,0.478137739401472,0.181046409783335,0.229770261168065,0.797973088350368,0.596623279350628,0.564524283676437,61,86,48,0,0.312820512820513,2
-0.3,0.527051996615596,0.182399747036814,0.319289164195681,0.862086300755625,0.5540311676506,0.649408446704719,62,90,37,0,0.328042328042328,2
-0.2,0.316446059038667,0.177540271017432,0.298115350142156,0.714196121683807,0.69142637581272,0.643485309268974,81,54,40,0,0.462857142857143,2
-0.1,0.363117165618943,0.192403535485482,0.222892012923218,0.751926682281828,0.624246099755259,0.63361701731729,73,70,36,0,0.407821229050279,2
0,0.28347347178868,0.170902204460361,0.235214469573426,0.59210341207761,0.544674562656994,0.597723143893746,78,50,29,1,0.493670886075949,2
0.1,0.229007068824843,0.197573856968391,0.311227037239109,0.489330064982889,0.652007341668505,0.669991785518896,62,5,44,37,0.418918918918919,2
0.2,0.240037086891337,0.199372260488362,0.273445626782731,0.590909165565767,0.556415057667995,0.612900321954242,64,47,17,11,0.460431654676259,2
0.3,0.204550758560929,0.175983535117224,0.384331590882275,0.64101687792584,0.66239250292096,0.703443250713003,83,21,13,33,0.553333333333333,2
0.4,0.189638702580181,0.206933164802874,0.269538199704661,0.632351842183276,0.625078295777551,0.702078175812189,71,21,27,39,0.449367088607595,2
0.5,0.18836907935558,0.175607437410761,0.270568820361184,0.531103219335829,0.581973804922796,0.627588640770118,74,19,23,26,0.52112676056338,2
0.6,0.195716800017072,0.189660964038311,0.256133493686987,0.638635017987826,0.542658721788982,0.647153544469014,54,44,27,46,0.31578947368421,2
0.7,0.233416001481801,0.210281172956959,0.320854509355185,0.771279039076676,0.545669385741205,0.549497665046188,41,78,3,32,0.266233766233766,2
0.8,0.237061905837569,0.214655196562476,0.25223919631488,0.662202962517915,0.448823925672285,0.615139001164694,63,41,8,35,0.428571428571429,2
0.9,0.356058917026364,0.182984092891775,0.262750407130301,0.845785175711754,0.556699306132089,0.657625803422384,61,85,14,61,0.276018099547511,2
1,0.363992135830023,0.211949284540572,0.310399703234308,0.895796163089863,0.574086290285032,0.575485688269688,51,81,22,14,0.303571428571429,2
-1,1.39283430220979,0.176594738094471,0.299797872404734,1.90222842687089,0.642868107796242,0.642595384306582,28,583,84,0,0.0402877697841727,3
