"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","median_log_clr","median_log_tss","median_es_clr","median_es_tss","n_both","n_tss_only","n_clr_only","n_neither"
-1,"cent vs mage",0.61708270011564,1.65603971270614,2.06077381565797,1.20325780373365,1.41536709111462,0.279519932518215,1.43857527106303,0.597554812209414,130,59,506,422
-1,"eld vs kin",0.732139257616312,1.38009759788175,2.20419272248153,0.627740960245802,0.728771926074647,0.115103458333244,1.0851163497024,0.43625639188156,134,52,181,750
-0.9,"cent vs mage",0.632011722025336,1.37564341889637,1.79132012546611,0.915632007002384,1.14107632915743,0.256411280381124,1.28436763825444,0.571521771195508,123,49,344,601
-0.9,"eld vs kin",0.784133746026693,1.13461542399861,1.86815759313468,0.491868871438135,0.609223188552694,0.132587799489519,1.01570033431504,0.43652508790615,130,45,153,789
-0.8,"cent vs mage",0.710371006462142,1.03053191507237,1.39929980786352,0.637389781942957,0.882877972102314,0.262444959765399,1.13397406384802,0.591735207143591,128,43,212,734
-0.8,"eld vs kin",0.744364606104678,1.12311150141885,2.06420438452315,0.442256065127094,0.556167042189005,0.132028657957305,0.925199092670476,0.444459377948246,131,42,141,803
-0.7,"cent vs mage",0.655728397844733,1.31385957200459,1.73759022834278,0.843327711475788,1.10684954462693,0.264429068117814,1.18279374311254,0.588016246514394,126,40,329,622
-0.7,"eld vs kin",0.834587188510746,0.909100650967963,1.66890065999286,0.361199040298697,0.469375369399434,0.112400844671637,0.830413779910245,0.434867208934227,147,37,91,842
-0.6,"cent vs mage",0.71658361835454,1.04955553967044,1.39135440061332,0.651362708779857,0.854097771494057,0.224339171890357,1.07980840010345,0.530040992818045,122,37,227,731
-0.6,"eld vs kin",0.883169133173557,0.732607045500558,1.31375393923476,0.278394204824387,0.399933850748082,0.1369331033066,0.751403119695008,0.439494132617808,155,22,81,859
-0.5,"cent vs mage",0.89361627646137,0.643940781501953,0.820983198706527,0.449978743424776,0.694442423414486,0.237801134796206,0.923098402886629,0.560320173402844,157,24,112,824
-0.5,"eld vs kin",0.890455128498237,0.74177466092121,1.35804803537585,0.250775492061038,0.348129421339726,0.112231300787954,0.708867564387659,0.443203524430101,160,35,72,850
-0.4,"cent vs mage",0.946946981441539,0.400798501040051,0.542266602579958,0.256605724900153,0.518506274748917,0.265730403418847,0.806862325851419,0.593931138959872,161,14,75,867
-0.4,"eld vs kin",0.97704352632015,0.352659843448642,0.575057260192173,0.114305613924928,0.235173113575073,0.139821308113865,0.59445023864929,0.440806553623144,177,7,36,897
-0.3,"cent vs mage",0.92431395541152,0.436610918819217,0.650228569457429,0.220131916034397,0.464919340043973,0.245635918308433,0.773410123845715,0.566383298977704,140,15,91,871
-0.3,"eld vs kin",0.930044813584172,0.371049596699828,1.07682590264109,0.058341861918555,0.176387311732046,0.117734283179609,0.526070353909798,0.440972290335793,187,16,15,899
-0.2,"cent vs mage",0.962013304315787,0.221888480052157,0.439981267158821,0.0585521228047003,0.395102559145357,0.316733867155882,0.714158311990658,0.635361877149479,187,8,33,889
-0.2,"eld vs kin",0.97446259229744,0.280387773992477,0.66421155242614,0.0483933075819207,0.161828839091741,0.12272766210173,0.494371809063413,0.43575720602571,178,14,13,912
-0.1,"cent vs mage",0.985836744741157,0.181237835243506,0.288128062607295,0.0816084409086788,0.346675433130692,0.249992946527893,0.664228357674368,0.573569980811207,181,7,24,905
-0.1,"eld vs kin",0.970582202585615,0.193843199204604,0.711220783613144,0.00476185487935163,0.134399706828021,0.134793155209032,0.462231340478821,0.438387139614612,171,1,25,920
0,"cent vs mage",0.905594601894484,0.284469618080496,0.758423704156559,-0.0645045429031168,0.220436507479846,0.29435861256667,0.538511168439404,0.62241554443682,151,17,13,936
0,"eld vs kin",0.991476853249328,0.143021917743084,0.354062335228721,0.0019368957132165,0.134152300106419,0.139711133940001,0.460642274714846,0.434532193454195,173,1,20,923
0.1,"cent vs mage",0.942176120430026,0.228772083212007,0.60818532297184,-0.0543167117931707,0.232462254593201,0.298635187118141,0.547229344474693,0.619379205976215,149,9,14,945
0.1,"eld vs kin",0.988605294126598,0.192971714303631,0.476758273784608,0.0104266969835607,0.127998516874451,0.119690401677229,0.441441573680902,0.430567276737891,176,12,6,923
0.2,"cent vs mage",0.939857826326627,0.344960165624941,0.618033787963569,-0.107149126199632,0.172509164054271,0.280152833057155,0.493292011017182,0.599708388680325,140,44,18,915
0.2,"eld vs kin",0.979889126481652,0.297669022795126,0.553499023795449,0.0582009855261011,0.173743228156213,0.128553201264177,0.470598230629279,0.435374829235073,152,30,13,922
0.3,"cent vs mage",0.967304872307097,0.249795333727498,0.426718510782093,-0.0760871454119924,0.156941161030238,0.234799913145537,0.482230821536982,0.561648855793472,136,34,12,935
0.3,"eld vs kin",0.957743520568219,0.382929485221241,0.867410252830769,0.10644151831641,0.19889158251014,0.109802551937015,0.542746289645094,0.455493382495817,162,40,14,901
0.4,"cent vs mage",0.857955135489073,0.515076992792418,0.976316722091354,-0.125954506585908,0.155487207477504,0.258824502799323,0.443488131478452,0.568453247910307,108,54,35,920
0.4,"eld vs kin",0.95551092595978,0.360960220577477,0.834658601388878,0.0646374123504428,0.174571067871699,0.132070846431137,0.48932226817391,0.44131838264203,157,32,22,906
0.5,"cent vs mage",0.889728430924734,0.448579670047607,0.726361106594426,-0.101327026914344,0.171020836766492,0.262035399514728,0.436654655851281,0.583351326088076,111,71,17,918
0.5,"eld vs kin",0.92111325365118,0.561144599602939,1.15138504327316,0.1465197171905,0.25894694967671,0.126935613,0.618856127189376,0.450476254937122,137,43,37,900
0.6,"cent vs mage",0.80139687881218,0.661790726843553,1.33735220860033,-0.0469836981239696,0.179599234309201,0.245631199635096,0.458799728269794,0.563433472527028,108,59,50,900
0.6,"eld vs kin",0.887428085225369,0.732042009212716,1.54586285638554,0.202662952887775,0.334222843241655,0.139900594649448,0.706818992983936,0.436288157900324,133,37,68,879
0.7,"cent vs mage",0.820210615579313,0.777510349388958,1.36211074197095,0.00930706522984759,0.249569242148423,0.264594723121342,0.527345846748906,0.571370519870661,89,82,68,878
0.7,"eld vs kin",0.907888165976504,0.90414575603036,1.65646231356786,0.30814206331805,0.42677640861021,0.137871783568939,0.823405251785343,0.430719690945938,121,51,91,854
0.8,"cent vs mage",0.865151457221314,0.733035497897131,1.21395451134541,0.0283001832547858,0.243596192338134,0.242455926773807,0.538693861368841,0.550849481132751,100,74,67,876
0.8,"eld vs kin",0.86420099592658,0.915396867539634,1.61707759012398,0.364690149789514,0.476060277993048,0.126803709176025,0.864985131523456,0.434546746915179,120,73,83,841
0.9,"cent vs mage",0.770122821415196,0.816025768287272,1.30832831864105,0.0327989903028069,0.290286196005827,0.314275643601483,0.576251469543561,0.622755999994216,83,104,68,862
0.9,"eld vs kin",0.844632455965609,1.10274644793553,1.87690269084303,0.432951818432002,0.549936949169954,0.12523183116723,0.947621778815628,0.437871468170819,118,77,102,820
1,"cent vs mage",0.803408885477613,1.00895190793217,1.84233466253288,0.174755276107382,0.37077363239012,0.236756328972446,0.679611308436534,0.541924516736308,84,70,111,852
1,"eld vs kin",0.835528692705015,1.16160130257345,2.00754851786789,0.560765060111381,0.654613259226146,0.132449928472768,1.10894583883381,0.43497894764421,107,70,113,827
