"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
-1,1.75748753976694,0.107453002843766,2.53474706156365,1.02843708026247,110,652,93,6.77272727272727,0
-0.9,1.55682799252855,0.115187384267319,2.29752026192013,1.03364386195042,117,565,87,5.57264957264957,0
-0.8,1.36721339766336,0.115729061058017,2.09905327428631,1.04252168913912,125,463,81,4.352,0
-0.7,1.17344743774461,0.118463615794205,1.90810047156938,1.02620396613081,130,362,78,3.38461538461538,0
-0.6,0.994286016219754,0.123531879346749,1.73337178022037,1.03197280501694,133,295,74,2.77443609022556,0
-0.5,0.847597026164547,0.117132070038857,1.57965165983834,1.03488468260167,142,234,61,2.07746478873239,0
-0.4,0.680496161128979,0.120291769637629,1.4440903522816,1.04386691363176,148,196,55,1.69594594594595,0
-0.3,0.542648667191035,0.114936501545007,1.32743437094029,1.02632273798025,152,145,52,1.29605263157895,0
-0.2,0.440302833771289,0.113509186344881,1.22571262628806,1.02930803185828,154,116,50,1.07792207792208,0
-0.1,0.344182745330718,0.117187114648413,1.13337256533579,1.03141045996318,158,85,46,0.829113924050633,0
0,0.262903574431359,0.114186416275849,1.08175145019459,1.03236692853308,166,63,36,0.596385542168675,0
0.1,0.194826257118077,0.113156238125102,1.03706504444478,1.0309560465725,180,36,30,0.366666666666667,0
0.2,0.140711754398516,0.114399557837147,1.00137254617809,1.04195212398523,184,16,16,0.173913043478261,0
0.3,0.116448352541528,0.112980205395299,1.01534651945182,1.03975144782465,195,4,9,0.0666666666666667,0
0.4,0.109522997786352,0.108913734707296,1.02984817523912,1.03707558578463,192,7,9,0.0833333333333333,0
0.5,0.11898022636097,0.114683429697617,1.07902297297308,1.03287704631467,178,15,29,0.247191011235955,0
0.6,0.151869531963161,0.111692429120498,1.14340625716905,1.03381725862449,170,28,34,0.364705882352941,0
0.7,0.196104516248675,0.117051294099085,1.23698633795423,1.0430369458438,156,46,47,0.596153846153846,0
0.8,0.26610780439896,0.121301725837088,1.32790942656051,1.03481830818455,147,66,59,0.850340136054422,0
0.9,0.344423563037031,0.117485786627107,1.43839378820693,1.04354073652016,140,84,65,1.06428571428571,0
1,0.447401705536309,0.118403443867611,1.60479080382397,1.03892393946284,138,107,70,1.28260869565217,0
-1,1.75342244286187,0.11104855005162,2.5127437993547,1.03012817015254,114,651,89,6.49122807017544,1
-0.9,1.55878408309371,0.112548352597371,2.30997548215848,1.02459704895965,117,574,87,5.64957264957265,1
-0.8,1.35240565385573,0.112015870637676,2.09694164073532,1.03476114457018,121,463,81,4.49586776859504,1
-0.7,1.17637548078707,0.117188718124297,1.90414211279262,1.03902793522665,126,364,74,3.47619047619048,1
-0.6,0.990827388355488,0.108995659557139,1.73125242626928,1.03256662612685,133,292,74,2.75187969924812,1
-0.5,0.839880217791209,0.117915170028384,1.59094575722796,1.03228978093717,145,241,57,2.0551724137931,1
-0.4,0.68156544958438,0.115916998837095,1.46111171654028,1.03934065724212,147,196,58,1.72789115646258,1
-0.3,0.557217102733383,0.113141084672898,1.32350338701668,1.04735946494021,152,147,50,1.29605263157895,1
-0.2,0.444939626080811,0.116714267932907,1.21819821505118,1.04055056521125,149,123,51,1.16778523489933,1
