"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
-1,1.75897484278836,0.113982330689178,2.51533343844052,1.03366009663717,114,661,91,0.147096774193548,0
-0.9,1.55629931109897,0.112052826732619,2.31007257263556,1.03626157165487,115,572,88,0.167394468704512,0
-0.8,1.37469967588994,0.11297111989414,2.10422867947668,1.03489823848473,124,457,80,0.21342512908778,0
-0.7,1.16623656053816,0.113284126217096,1.90508072041575,1.03800913886827,127,366,75,0.257606490872211,0
-0.6,1.00525333000646,0.110630427130921,1.75459447546005,1.02944233588044,134,294,66,0.313084112149533,0
-0.5,0.829147244716135,0.120539581131107,1.59061064478051,1.03435424973258,143,237,63,0.376315789473684,0
-0.4,0.669184689712657,0.113837927575834,1.44757799741936,1.03213349083828,150,191,54,0.439882697947214,0
-0.3,0.553033481243285,0.116963713571644,1.31382616715396,1.02673309316682,149,148,53,0.501683501683502,0
-0.2,0.44568585342144,0.121460144629428,1.23686924086781,1.03556483889167,156,116,48,0.573529411764706,0
-0.1,0.343239884848812,0.116994272240676,1.1354668339186,1.02785478361862,161,91,42,0.638888888888889,0
0,0.262127823562058,0.118447080188036,1.07546931064154,1.03710152688572,171,57,34,0.75,0
0.1,0.197272458788073,0.11466291572483,1.02730335671036,1.03941137971239,178,38,25,0.824074074074074,0
0.2,0.14222142109687,0.114027289893109,1.00289125510187,1.02718827142737,186,15,20,0.925373134328358,0
0.3,0.106792475455352,0.106278109395244,1.00191315825821,1.0287499072276,195,3,11,0.984848484848485,0
0.4,0.10686630593123,0.112619648480811,1.03270107577105,1.03851653853819,191,6,13,0.969543147208122,0
0.5,0.117745521288765,0.115117661827048,1.08118520302929,1.02485476452201,177,17,24,0.912371134020619,0
0.6,0.147774852632338,0.10904131157965,1.13536737348187,1.04190598047116,167,30,36,0.847715736040609,0
0.7,0.197265001081982,0.114846504633747,1.22486304755881,1.02573001434171,155,43,45,0.782828282828283,0
0.8,0.26441030461972,0.117473151809948,1.33153683019908,1.03224662289986,151,60,54,0.71563981042654,0
0.9,0.348053079141042,0.113686643700238,1.45148451528712,1.04492607244252,135,95,64,0.58695652173913,0
1,0.44445649322961,0.117973226489724,1.59915189621121,1.03068980353834,136,110,67,0.552845528455285,0
-1,1.76207009342586,0.111596133077276,2.54339634279764,1.03758094074888,110,662,94,0.142487046632124,1
-0.9,1.55077082018727,0.116603209179497,2.310799344946,1.03309108984666,121,567,87,0.175872093023256,1
-0.8,1.35428708058861,0.117899935551549,2.09974251319591,1.0362538240371,123,475,83,0.205685618729097,1
-0.7,1.16923972986142,0.115682966052138,1.91517998977969,1.04334841486726,130,360,77,0.26530612244898,1
-0.6,0.990779365199703,0.113206125070983,1.73085334721764,1.03791348683087,135,287,68,0.319905213270142,1
-0.5,0.838734535714623,0.111158722360266,1.57536733805484,1.03690261689678,142,243,62,0.368831168831169,1
-0.4,0.698030141674589,0.119598062941996,1.45222010742256,1.02418700836373,150,197,52,0.432276657060519,1
-0.3,0.564470433363577,0.10772633680997,1.33679336412708,1.03463169645703,153,146,51,0.511705685618729,1
-0.2,0.438365768936969,0.116157096881152,1.22213628541613,1.03264240319401,153,117,52,0.566666666666667,1
-0.1,0.334140381468079,0.117027124010802,1.13966465803104,1.02799598285731,164,88,40,0.650793650793651,1
0,0.26045618918434,0.121854905181643,1.07175304447543,1.04364816977712,172,56,33,0.754385964912281,1
0.1,0.191109035139018,0.118612296496683,1.02991758104341,1.03304856619885,180,32,23,0.849056603773585,1
0.2,0.132573256219026,0.109498148539774,1.01244572565447,1.03945453083636,188,12,17,0.94,1
0.3,0.120951968430965,0.110639273289095,1.01008850386864,1.03906903422005,192,5,10,0.974619289340102,1
0.4,0.110112766788348,0.114217944679344,1.03192447973459,1.03406664120527,194,5,11,0.974874371859296,1
0.5,0.114902464072484,0.105677285199806,1.07287378184183,1.02887995437894,185,12,20,0.939086294416244,1
0.6,0.153266186442944,0.113226919206477,1.13682440364581,1.04598137266187,171,25,38,0.872448979591837,1
0.7,0.201353378233537,0.111362052580352,1.22931914328414,1.04636934942019,153,49,48,0.757425742574257,1
0.8,0.259269741153432,0.117803900831083,1.326692168284,1.03132085354841,150,63,50,0.704225352112676,1
0.9,0.355022663756536,0.111998005326321,1.45554687321654,1.03080537740303,140,82,65,0.630630630630631,1
1,0.447603687408435,0.117669882769678,1.58676729676121,1.03093698842856,137,102,69,0.573221757322176,1
