"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
-1,0.924125969049079,0.210809775058022,1.3334528466798,0.598095375018534,33,286,54,0.103448275862069,0
-0.9,0.935075135365859,0.188120322477951,1.27463600248773,0.447075865022173,30,247,36,0.108303249097473,0
-0.8,0.798234722999416,0.201000072381897,1.16365511528517,0.586107385427657,74,194,47,0.276119402985075,0
-0.7,0.619095104919403,0.194152927415539,1.09879592145152,0.729980371075513,84,164,46,0.338709677419355,0
-0.6,0.627698788184652,0.161388701128336,0.973499956933579,0.664407853893582,66,117,56,0.360655737704918,0
-0.5,0.64515932076495,0.182724625869353,1.05023337184448,0.714722097241608,53,156,71,0.253588516746411,0
-0.4,0.381013858157303,0.191509708753829,0.691221013182916,0.602933871154776,73,64,31,0.532846715328467,0
-0.3,0.334914518581231,0.189456174815125,0.660977670912807,0.644960638928638,54,53,57,0.504672897196262,0
-0.2,0.280218540449615,0.225229080927733,0.635522817392252,0.599789970795089,75,53,22,0.5859375,0
-0.1,0.32430862758586,0.197272699443578,0.612733370133515,0.577088971443441,76,24,24,0.76,0
0,0.261364424523144,0.204912870641235,0.564773548891533,0.645410362685869,92,3,34,0.968421052631579,0
0.1,0.189014403140278,0.187920941657811,0.623871245134516,0.679794082360712,92,2,30,0.978723404255319,0
0.2,0.200572112407624,0.209295534914097,0.584248352358117,0.707767597129548,95,0,33,1,0
0.3,0.196639630351337,0.169981810150729,0.503690642001252,0.643441279484268,99,4,18,0.961165048543689,0
0.4,0.183074068414664,0.196853927238513,0.646879599487694,0.713430095848761,110,4,13,0.964912280701754,0
0.5,0.183658865179013,0.17951224949132,0.622624410728668,0.45722874297357,90,13,17,0.87378640776699,0
0.6,0.218710297222579,0.193767634346404,0.766399412084721,0.553250526418605,79,38,35,0.675213675213675,0
0.7,0.273110939479592,0.173327427940167,0.934749007878259,0.645114612837968,77,66,52,0.538461538461538,0
0.8,0.221878841548478,0.181227117235366,0.788313515093587,0.639070167156692,88,31,12,0.739495798319328,0
0.9,0.377088987655021,0.205052432782772,1.08342297523704,0.48715228569294,82,76,7,0.518987341772152,0
1,0.365526291336919,0.18589001797118,0.948876615361683,0.473529580006823,74,72,23,0.506849315068493,0
-1,1.17505812614393,0.175857643657527,1.7176760822369,0.569433764426936,58,425,53,0.12008281573499,1
-0.9,0.915083941463781,0.168971064248006,1.25280029252479,0.622868964271482,46,242,67,0.159722222222222,1
-0.8,0.95500812002505,0.183316356743929,1.35779219911045,0.613313808805832,80,258,59,0.236686390532544,1
-0.7,0.654282538815346,0.209611583244265,1.10081791610547,0.565842841207049,54,179,54,0.23175965665236,1
-0.6,0.661228842799933,0.192777956245286,1.05954447811697,0.692559641415594,65,160,59,0.288888888888889,1
-0.5,0.560568262620407,0.187720294356771,0.903540586041898,0.702367655134213,56,118,66,0.32183908045977,1
-0.4,0.526218584574594,0.198797415042027,0.796295334557973,0.530552654149018,38,117,46,0.245161290322581,1
-0.3,0.378555621621282,0.190750615035599,0.731875541565303,0.491737189389028,85,73,2,0.537974683544304,1
-0.2,0.327305181042862,0.194994428533562,0.753797810456602,0.660843490736561,75,82,32,0.477707006369427,1
-0.1,0.307516748583673,0.178755849777624,0.596214340509263,0.732765075559296,99,19,36,0.838983050847458,1
0,0.290274160195655,0.186756065970032,0.567818612060876,0.509840735605358,74,28,20,0.725490196078431,1
0.1,0.265846977218228,0.190499005724184,0.643441709816359,0.471148853478441,66,60,34,0.523809523809524,1
0.2,0.216226694471576,0.188588043456558,0.586306884116159,0.595318588559604,83,17,10,0.83,1
0.3,0.192473489218149,0.207886438672191,0.549115032602216,0.569041387294786,89,7,10,0.927083333333333,1
0.4,0.193909388823624,0.210235203780276,0.662606326854731,0.67805719238648,93,8,25,0.920792079207921,1
0.5,0.187545669149492,0.185646143752997,0.666781348561422,0.611773144860025,90,13,13,0.87378640776699,1
0.6,0.213032888190489,0.191149900836915,0.694936410621342,0.573494345492196,80,34,25,0.701754385964912,1
0.7,0.257832382738985,0.197895485374397,0.929500539586263,0.5265655670697,77,69,33,0.527397260273973,1
0.8,0.280630223106685,0.166649411289246,0.975756640578214,0.533873374949402,83,72,17,0.535483870967742,1
0.9,0.33287046241894,0.178515749391775,1.06024209566257,0.549747680825191,87,69,30,0.557692307692308,1
1,0.366720009940438,0.19184836534411,0.894462086778909,0.63379931772242,79,66,25,0.544827586206897,1
-1,1.04922427954063,0.194717328897826,1.61856664735238,0.607576088676868,24,392,68,0.0576923076923077,2
-0.9,1.03058475848519,0.190700270435759,1.42244111615997,0.598925460655499,41,301,63,0.119883040935673,2
-0.8,0.863296261596999,0.195433270893629,1.26429978017295,0.580739110204539,35,264,67,0.117056856187291,2
-0.7,0.869441101306203,0.184931784486119,1.27309780646341,0.553448119964337,49,244,60,0.167235494880546,2
-0.6,0.665148665601031,0.192259680625682,1.05851290524075,0.50892367669544,41,181,47,0.184684684684685,2
-0.5,0.456060246847432,0.223016998260281,0.810800143942091,0.629649217092408,84,72,33,0.538461538461538,2
-0.4,0.48583877083078,0.195546994168814,0.804775135895602,0.572708491945668,66,84,40,0.44,2
-0.3,0.33836444534384,0.194823429982989,0.72323054374222,0.552206935767856,55,89,33,0.381944444444444,2
-0.2,0.295008478477904,0.201732431161524,0.623250280800833,0.510963334191901,75,46,27,0.619834710743802,2
-0.1,0.287869863291561,0.184237987661812,0.769955612651568,0.60435749849971,91,60,7,0.602649006622517,2
0,0.266158803302564,0.175099602593998,0.631129118263894,0.667984475167191,85,36,40,0.702479338842975,2
0.1,0.205897869297524,0.208981264134751,0.671348825343431,0.596581598760676,117,9,4,0.928571428571429,2
0.2,0.216455405584525,0.200246067462621,0.568652168067606,0.570786662443758,83,14,14,0.855670103092783,2
0.3,0.182365303822931,0.204283263816972,0.587490580850684,0.617548784483087,88,11,2,0.888888888888889,2
0.4,0.182506884194123,0.180687984246643,0.672630413030069,0.713733117587928,112,17,14,0.868217054263566,2
0.5,0.182400970984334,0.202412847095764,0.756113943506242,0.609517469266935,87,38,1,0.696,2
0.6,0.228903096654648,0.195469967857396,0.778708386671808,0.505387229710924,82,34,7,0.706896551724138,2
0.7,0.246945184695162,0.190695850649146,0.682440063255964,0.729286584263391,104,6,12,0.945454545454545,2
0.8,0.267198012377671,0.195879166781227,0.645769912840536,0.647600984886338,90,46,22,0.661764705882353,2
0.9,0.339672015885207,0.202662842498185,0.930322236132358,0.489538875721675,77,65,21,0.542253521126761,2
1,0.364737429391011,0.173360213143198,0.936377146271946,0.687012842096378,94,52,38,0.643835616438356,2
-1,1.11263903263603,0.201890082995814,1.60019321084396,0.638115276234467,36,374,73,0.0878048780487805,3
-0.9,0.89402312628506,0.163013478744875,1.27660302459369,0.687260259844112,43,246,79,0.14878892733564,3
-0.8,0.950712743293397,0.175598263501765,1.21198807710345,0.621659331254981,23,295,73,0.0723270440251572,3
-0.7,0.68016149463839,0.18721031381368,1.07822907460139,0.497983745738338,30,192,57,0.135135135135135,3
-0.6,0.60945561191666,0.213262830021219,0.967408871756573,0.586957776396363,34,165,62,0.170854271356784,3
-0.5,0.54423742233364,0.192330406707953,1.04772609296268,0.565098900048398,57,181,33,0.239495798319328,3
-0.4,0.457730301586708,0.22013550699964,0.832630950666242,0.564643894121706,78,81,28,0.490566037735849,3
-0.3,0.413464401973463,0.200026408624539,0.845669638197399,0.660662325178196,76,91,43,0.455089820359281,3
-0.2,0.451214613899956,0.187264003679146,0.939213172219909,0.618942365423281,82,116,19,0.414141414141414,3
-0.1,0.405344369348977,0.194733116969684,0.729913007828922,0.520312728132027,56,72,25,0.4375,3
0,0.261459028606078,0.203000914577684,0.569407353798627,0.485624822479863,62,36,26,0.63265306122449,3
0.1,0.219978601612283,0.189249152095136,0.639403244700603,0.705677678551148,74,52,27,0.587301587301587,3
0.2,0.178304311668234,0.199194472866755,0.638676437683244,0.718149382223511,102,12,8,0.894736842105263,3
0.3,0.195246275413294,0.214554805851631,0.543449452689204,0.59321880017142,82,2,6,0.976190476190476,3
0.4,0.18610424035355,0.191192937579369,0.631229051877238,0.524439170833951,91,4,8,0.957894736842105,3
0.5,0.202747090808017,0.196254267023498,0.670286588571382,0.614998412524855,90,9,22,0.909090909090909,3
0.6,0.204143501687041,0.185857335962651,0.679914053278056,0.540378845226023,87,29,25,0.75,3
0.7,0.165246165354442,0.173195874493944,0.62172791644116,0.632799738747494,86,10,28,0.895833333333333,3
0.8,0.325544908204025,0.19607599097442,0.846350027588918,0.631560103750255,78,41,46,0.65546218487395,3
0.9,0.374755433479219,0.192069183452662,1.14462618486429,0.619119340432232,81,111,24,0.421875,3
1,0.445366383457944,0.188223032132197,0.935772551022678,0.60281291309129,77,78,33,0.496774193548387,3
-1,1.12678431980541,0.245252434617391,1.54140358194102,0.527539634903074,18,405,51,0.0425531914893617,4
