"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
-1,1.7597323506847,0.116822463614114,2.53010457275215,1.03152366396721,111,660,92,6.77477477477477,0
-0.9,1.56359051685455,0.114993300456944,2.31375476832216,1.03675491138317,119,571,85,5.51260504201681,0
-0.8,1.3421894633158,0.122048174241941,2.09623459074945,1.03566012755131,122,461,82,4.45081967213115,0
-0.7,1.1577814407445,0.111457868349443,1.90979067568097,1.03872174182782,127,366,78,3.49606299212598,0
-0.6,0.996845740573049,0.114739803490704,1.74907716852346,1.03278477562398,130,295,67,2.78461538461538,0
-0.5,0.8379992250279,0.116657900611245,1.59416831459537,1.03373158481926,145,237,61,2.0551724137931,0
-0.4,0.70819135358388,0.116418099881305,1.44864200290172,1.03049265832867,144,192,59,1.74305555555556,0
-0.3,0.562689487775079,0.123434399505277,1.32062224347123,1.03770376153853,156,148,53,1.28846153846154,0
-0.2,0.441509801351012,0.109361629737437,1.23060260218094,1.04253106836943,157,115,49,1.04458598726115,0
-0.1,0.347365670752315,0.117586819409672,1.13773148843074,1.03756684685689,163,86,38,0.760736196319018,0
0,0.261514715513636,0.115856697951502,1.07824298709042,1.03735722148229,168,54,34,0.523809523809524,0
0.1,0.201303502094384,0.118599014443706,1.0321120986664,1.0478099223737,178,33,32,0.365168539325843,0
0.2,0.138550790957535,0.116451821454844,1.00733045201622,1.03380774890452,187,15,18,0.176470588235294,0
0.3,0.11937509548748,0.110617407513944,1.01009157207476,1.03353439360748,192,6,7,0.0677083333333333,0
0.4,0.106286032801565,0.112413270628509,1.03987942923808,1.03537235016305,190,14,10,0.126315789473684,0
0.5,0.11781199639229,0.119591424874848,1.07422564252791,1.03617055664559,184,16,20,0.195652173913043,0
0.6,0.150317620411991,0.111858680172308,1.14381752950103,1.03556815448915,171,27,34,0.35672514619883,0
0.7,0.189136188304563,0.121504898706984,1.22650968188041,1.0401204698018,158,41,48,0.563291139240506,0
0.8,0.266691645829184,0.121670271781563,1.33601437630429,1.03611453809963,146,72,55,0.86986301369863,0
0.9,0.347724352868275,0.108537854081934,1.44928129789897,1.02987170616868,142,88,63,1.06338028169014,0
1,0.443172846445755,0.1124506216092,1.58094198690309,1.02787756720592,137,108,69,1.29197080291971,0
-1,1.75568012765855,0.114756686383984,2.53033503265328,1.02952106392543,111,660,91,6.76576576576577,1
-0.9,1.54247249588232,0.115566843084386,2.3052571227952,1.03859792169018,119,576,83,5.53781512605042,1
-0.8,1.35478305219597,0.113242362647627,2.10997360630689,1.03778561214173,122,463,79,4.44262295081967,1
-0.7,1.17977666920729,0.114115115076742,1.9179622467451,1.03234751667889,131,370,77,3.41221374045802,1
-0.6,0.993862932877674,0.11275224397329,1.74551639708688,1.0368634950447,135,285,65,2.59259259259259,1
-0.5,0.838978397512247,0.108654180044586,1.60342922158386,1.03235925770009,144,241,57,2.06944444444444,1
-0.4,0.683580393529191,0.111716243485312,1.44254268442914,1.02856340044126,147,199,54,1.72108843537415,1
-0.3,0.55627001379217,0.1120971309793,1.33642993934918,1.03712964114016,151,153,52,1.35761589403974,1
-0.2,0.448416022405913,0.114573419417746,1.23982421922144,1.03203065671483,152,116,51,1.09868421052632,1
-0.1,0.343873319160179,0.123322322471284,1.13359516511502,1.02626491356412,160,88,43,0.81875,1
0,0.257320127068646,0.120784477586804,1.06676895619615,1.03457642237804,167,58,36,0.562874251497006,1
0.1,0.188273652682589,0.11302496126392,1.03284348150177,1.03652270174932,177,36,26,0.350282485875706,1
0.2,0.143947616275918,0.118827318351333,1.00514659391613,1.04031630857588,188,13,19,0.170212765957447,1
0.3,0.119448731573645,0.112331206051317,1.00763959555406,1.02620761226571,195,3,11,0.0717948717948718,1
0.4,0.10678970305205,0.107572909643575,1.02896189498814,1.03223947853386,189,12,11,0.121693121693122,1
0.5,0.116035186390236,0.1153094200367,1.08143847867799,1.02918034995824,177,16,25,0.231638418079096,1
0.6,0.149136995580022,0.120772415880743,1.14351552128078,1.04241720111929,175,25,31,0.32,1
0.7,0.195705553401235,0.121009609734944,1.21779401325695,1.03877361642659,158,48,48,0.607594936708861,1
0.8,0.271021276094719,0.120432907406387,1.33817143608809,1.0378701964014,147,62,58,0.816326530612245,1
