"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","median_log_clr","median_log_tss","median_es_clr","median_es_tss","n_both","n_tss_only","n_clr_only","n_neither"
-1,"cent vs mage",0.33524424763156,2.44551346269005,3.11695988686953,-1.64503925617121,0.128370356845728,1.71841919025172,0.471829321307117,1.37832297258958,115,637,86,279
-1,"eld vs kin",0.701144287719434,1.6324360460669,2.60019201150753,-0.755491307391032,0.0979727478615246,0.860258114424044,0.434992686588859,1.08896845175346,152,225,62,678
-0.9,"cent vs mage",0.350285433941456,2.28960376723625,2.98882651986921,-1.43447960139691,0.121324412138503,1.52840463121372,0.453824350284426,1.29915837557752,105,569,91,352
-0.9,"eld vs kin",0.768653717458557,1.41014782119806,2.223233143961,-0.603236687273707,0.0989261109820583,0.721985526851008,0.434858277177296,0.994948376325662,160,183,55,719
-0.8,"cent vs mage",0.433717181356433,2.02841183906756,2.63871947932571,-1.2459226411228,0.131084645468517,1.3792422358568,0.452882711466415,1.23536355191262,118,475,73,451
-0.8,"eld vs kin",0.821122797568659,1.17268212796333,1.95839976401751,-0.458279259611432,0.0974088486586016,0.581613944140991,0.424789091414463,0.902949979616914,163,145,50,759
-0.7,"cent vs mage",0.52098517710127,1.74173420461287,2.35686423213914,-1.00055288567129,0.12682566137886,1.10950680655487,0.461110070477726,1.11610584933889,126,345,70,576
-0.7,"eld vs kin",0.814843286525899,1.15337985420263,2.00091308424038,-0.391677460106132,0.0954432912749768,0.523668637356209,0.424187301051178,0.844854179617023,162,133,49,773
-0.6,"cent vs mage",0.576206208748209,1.58008278609358,2.18245155303275,-0.862099300367289,0.125357898229906,0.996608708887731,0.446719686114574,1.04069864964742,134,279,66,638
-0.6,"eld vs kin",0.880596554855138,0.873398048137395,1.53789028541116,-0.259292918339885,0.0964243147827018,0.370477558932669,0.444850426370729,0.718434220395684,175,87,37,818
-0.5,"cent vs mage",0.655338454614673,1.32757324991996,1.8690417657199,-0.655950024003493,0.121551266787631,0.798085379207851,0.453315277917391,0.929948017533581,138,217,60,702
-0.5,"eld vs kin",0.893275230996109,0.759822893481395,1.46239327930402,-0.202334768233757,0.09650251439897,0.303497911363271,0.439369564910691,0.632454693476024,175,70,39,833
-0.4,"cent vs mage",0.712087991121964,1.18771693672731,1.72477846977496,-0.547893699803869,0.11801983013134,0.678864024090812,0.459144635717314,0.849176954489469,145,189,49,734
-0.4,"eld vs kin",0.930495334672214,0.648307346150752,1.1619305831565,-0.144108683332156,0.100697117951974,0.252544507747143,0.444245929814431,0.613943840109357,178,60,32,847
-0.3,"cent vs mage",0.777875978803492,0.998525680125034,1.51443302059568,-0.407707229709148,0.120809668527561,0.518102924010374,0.453091868311788,0.768513956133109,143,144,55,775
-0.3,"eld vs kin",0.951042320336793,0.493375462920178,0.976856028642799,-0.0830939548139104,0.103642779811164,0.189985507934334,0.426057252554255,0.548147815814139,185,40,27,865
-0.2,"cent vs mage",0.842060188032905,0.838957235919329,1.27119293258304,-0.313011216857181,0.123746035217416,0.438517351592513,0.4548872242999,0.713694090319748,150,120,50,797
-0.2,"eld vs kin",0.971912207722778,0.309107797851042,0.747842761463863,-0.0344410197788458,0.101794515334825,0.136869427044858,0.445209649095657,0.470250324693213,187,24,23,883
-0.1,"cent vs mage",0.887745330639925,0.710733951458116,1.09439490612392,-0.226581545431479,0.121408237848921,0.34358866404514,0.457362631019671,0.665365896153852,150,90,46,831
-0.1,"eld vs kin",0.976323042017936,0.241169844599076,0.685775490140111,-0.0165392533859922,0.0969527776862332,0.11859393774634,0.432284691860847,0.464176543519603,195,17,18,887
0,"cent vs mage",0.947268997658897,0.457602204488525,0.744290029566518,-0.117851705039703,0.126849699639463,0.252399393196691,0.459478458169691,0.575585373123202,163,57,29,868
0,"eld vs kin",0.994951458481883,0.12919449211557,0.308729958363955,0.00330683717388206,0.098404715787421,0.0992088709004494,0.456318280603874,0.440196199104855,207,7,10,893
0.1,"cent vs mage",0.97082523296726,0.334953880841119,0.586963208704609,-0.0706307414328149,0.116914007311028,0.200120643600742,0.459495379504286,0.532308475168624,169,36,23,889
