"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","median_log_clr","median_log_tss","median_es_clr","median_es_tss","n_both","n_tss_only","n_clr_only","n_neither"
-1,"cent vs mage",0.319033267286245,1.96550127497834,2.55614247127865,-1.26439823208611,0.166890477673196,1.36680661931466,0.466270344176295,1.34948376146078,82,518,75,442
-1,"eld vs kin",0.759762991001915,1.39225530105319,2.15831866429506,-0.667106152630494,0.130089036077597,0.789121724650146,0.438420337628989,1.10044471019106,133,207,45,732
-0.9,"cent vs mage",0.419626175528493,1.74268518264646,2.26734200947618,-1.10189247992234,0.169380212972366,1.24504942153698,0.445853167464112,1.27511454019028,81,453,60,523
-0.9,"eld vs kin",0.815297405775969,1.09925776334522,1.73784520727386,-0.557873411743352,0.138515661783165,0.674160358877035,0.431239291956695,1.0308280104597,140,147,44,786
-0.8,"cent vs mage",0.422778872013834,1.6033298566679,2.14327181512299,-1.01051349204023,0.16635730262926,1.12043889317543,0.458524081944448,1.22931551662971,91,370,70,586
-0.8,"eld vs kin",0.731264430876709,1.16260620492128,2.15991156818776,-0.403928501049135,0.1348061549003,0.545275227162459,0.438542146798629,0.902074564149068,132,146,38,801
-0.7,"cent vs mage",0.557039576115422,1.34958078478447,1.8584191325223,-0.79645039660367,0.164858790676436,0.923792250431325,0.47942564914069,1.10509485671367,109,254,64,690
-0.7,"eld vs kin",0.826896655323523,1.00302498039584,1.72864290613424,-0.347194446781465,0.133494404821296,0.488759190737663,0.436178753748534,0.842970384300219,148,118,38,813
-0.6,"cent vs mage",0.503774405388462,1.32961291078597,1.84969767505939,-0.740674650420443,0.146766574771758,0.862303863296052,0.458220459441055,1.06874796195455,100,245,66,706
-0.6,"eld vs kin",0.875512643289172,0.748349365736143,1.42984964548921,-0.253737370827104,0.131947164651069,0.372652019250479,0.426236786371489,0.740093903290305,150,77,27,863
-0.5,"cent vs mage",0.611310291010347,1.08840602095959,1.59084866736176,-0.579457488319292,0.152283035911389,0.692992854431634,0.450698467731766,0.974025176503856,98,174,60,785
-0.5,"eld vs kin",0.939432664949885,0.522701469505579,0.942198562288459,-0.126894925404666,0.133611334345111,0.244125863034706,0.445837195857448,0.60872783223462,149,53,20,895
-0.4,"cent vs mage",0.608332928832279,1.14116767219549,1.6880624208787,-0.528928730756131,0.149914263495644,0.66814118673151,0.450943569733551,0.911744243366628,97,191,56,773
-0.4,"eld vs kin",0.861010260154208,0.687011371851119,1.47724044974699,-0.166653516931928,0.118236932270699,0.277570785759872,0.439384261236752,0.630804613201317,157,54,33,873
-0.3,"cent vs mage",0.63377463556783,0.952855626103964,1.55790653535927,-0.302686042846274,0.148177466117039,0.448063305539378,0.447300298785901,0.753557031251274,94,130,68,825
-0.3,"eld vs kin",0.881372790308961,0.662857682102803,1.3250666354925,-0.115064615602493,0.132822182024849,0.248999025521357,0.422645497971543,0.604361520255418,145,59,33,880
-0.2,"cent vs mage",0.867494741306191,0.578733849702708,0.966417219803893,-0.226686134184419,0.156112155277684,0.362762816516638,0.444077678903861,0.667712659626499,122,66,36,893
-0.2,"eld vs kin",0.978334766177924,0.317730976304835,0.584722869777116,-0.0408086769143138,0.136206982200636,0.169376594137133,0.451009247290437,0.504131705496199,164,35,12,906
-0.1,"cent vs mage",0.940292076181902,0.388050429833305,0.56774935633763,-0.155987757751324,0.162772134494154,0.312128739439468,0.46252187566595,0.640119391272064,130,62,17,908
-0.1,"eld vs kin",0.986665683733638,0.230597255422286,0.572847768859449,0.0129879932260302,0.119812025271011,0.120242228787469,0.439087550476654,0.428926137777469,172,14,19,912
0,"cent vs mage",0.969555890598785,0.266695864909491,0.386520815480223,-0.122333126696441,0.159036234701504,0.268273419254214,0.467799625637359,0.594420219002574,134,31,6,946
0,"eld vs kin",0.97029121303026,0.151765130158343,0.661992643494725,0.011607288377163,0.137767491464551,0.122264998797354,0.432998201785992,0.436817054686645,176,3,3,935
0.1,"cent vs mage",0.940489565360767,0.331746063131678,0.57443886203943,-0.082835739372991,0.168076622642945,0.249169155355919,0.459564119343725,0.5666600558317,125,57,14,921
0.1,"eld vs kin",0.993967540274391,0.116173714560554,0.310916771584784,0.00932604723846119,0.127678077687122,0.112266719605895,0.425517678850703,0.436419241187984,181,11,3,922
0.2,"cent vs mage",0.988238956796871,0.131759379286891,0.333762238244841,-0.00886141659811276,0.160935869156968,0.165569065064509,0.477053127472379,0.478292357580301,153,13,8,943
0.2,"eld vs kin",0.990393541361707,0.198524322115546,0.462086930473794,-0.0082660917851039,0.115227437751728,0.133988170874831,0.434921475450955,0.435749301524172,179,3,19,916
0.3,"cent vs mage",0.986747110835339,0.129261134042094,0.351631397711492,-0.00215928506684407,0.156347372954881,0.158277442313481,0.455274699973708,0.460614948539432,147,11,4,955
0.3,"eld vs kin",0.945061968819123,0.393695085782826,0.98628264633987,-0.0673438820796495,0.132669099307561,0.186715599361736,0.450260309254814,0.52853467883516,151,30,25,911
0.4,"cent vs mage",0.993573723853355,0.108775486816146,0.260793929989222,0.00345202845154816,0.149973468204615,0.154125431329935,0.44002292358795,0.456941265533057,149,1,17,950
0.4,"eld vs kin",0.976335437885853,0.400833173720402,0.774255599759912,-0.105092546459142,0.124709706940215,0.217221519998028,0.436465525312279,0.576447366847969,154,40,24,899
0.5,"cent vs mage",0.986379368114113,0.172154208660778,0.484944367933993,-0.00210987807558722,0.145127011474062,0.141714855893664,0.455754309693636,0.449644804361817,158,13,5,941
0.5,"eld vs kin",0.913531352575927,0.572420645535937,1.32681915504511,-0.126338514925894,0.12737816980583,0.245616864181919,0.443985979587357,0.599704580280611,148,44,32,893
0.6,"cent vs mage",0.951841324869467,0.381161708471194,0.686068903976013,-0.0797164193062518,0.153179416857769,0.197649065770231,0.45452622614383,0.469108180315153,118,37,48,914
0.6,"eld vs kin",0.915291717202411,0.617679770800302,1.25775981258349,-0.190898851569617,0.12137245753711,0.298470568837698,0.437651343242898,0.664782063076797,146,46,45,880
0.7,"cent vs mage",0.938115059889374,0.516636334003053,0.986806206178769,-0.0955253050932233,0.177782958822692,0.22749746050708,0.473825242579934,0.520385386063018,112,47,39,919
0.7,"eld vs kin",0.900560210820497,0.811179411415259,1.5196918005779,-0.321268559189486,0.133582776153615,0.45199817118069,0.443382005804271,0.851481483854846,135,76,58,848
0.8,"cent vs mage",0.869362684395379,0.659671004612802,1.38587341926584,-0.126492623600733,0.166450175588462,0.256315952491838,0.474936515248726,0.557431862128042,100,59,51,907
0.8,"eld vs kin",0.894728962338796,0.911967758165783,1.58500618133969,-0.404607301768076,0.138691403145244,0.538539402420139,0.429262403446828,0.935449744427228,127,101,48,841
0.9,"cent vs mage",0.86896556498138,0.786032837330299,1.66175950295562,-0.176519844213065,0.172867460269804,0.304977723121969,0.457574921605268,0.611338610548072,97,82,48,890
0.9,"eld vs kin",0.854571708011932,0.971802873954884,1.87220774828071,-0.374810364186112,0.143773454155756,0.506510838969527,0.431667398625992,0.927942634646057,118,93,58,848
1,"cent vs mage",0.921606205880676,0.76645900494303,1.27170636340178,-0.300099301772075,0.160064968975155,0.392990288484428,0.459958022791794,0.703942224002909,111,81,50,875
1,"eld vs kin",0.840299657116887,1.20318972814402,2.10226387227725,-0.520370385139028,0.128584870959327,0.63131499239578,0.416788593100546,1.03662328051589,117,120,70,810
