"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","median_log_clr","median_log_tss","median_es_clr","median_es_tss","n_both","n_tss_only","n_clr_only","n_neither"
-1,"cent vs mage",0.553631281361591,1.50481000896157,1.91226314359344,1.04582891940544,1.24175305079725,0.23199250400795,1.34963847014814,0.540074169165542,102,53,422,540
-1,"eld vs kin",0.792033271634784,1.10796785345359,1.83894308613961,0.493315620028826,0.609359436075106,0.126633180720261,0.968123908495464,0.43118375896104,145,42,146,784
-0.9,"cent vs mage",0.506110452627455,1.54651882627363,2.04595265889135,1.0145884432164,1.18945274452559,0.218927595459757,1.29229676696839,0.533062252653403,91,55,393,578
-0.9,"eld vs kin",0.847367925446234,1.05693452961726,1.59659742560695,0.499177482118233,0.628794366838406,0.137197868894767,0.984181172288371,0.43186072516897,143,34,149,791
-0.8,"cent vs mage",0.700485838546632,1.14214380236645,1.50368590691841,0.732746696354339,1.00377525027909,0.305473759370105,1.21686012720644,0.623768389918285,110,47,285,675
-0.8,"eld vs kin",0.884786585807413,0.869501746013617,1.3440382875225,0.459671177107262,0.578720524102458,0.121285696820089,0.907781179490515,0.428949840423666,155,34,104,824
-0.7,"cent vs mage",0.817092626791821,0.813044158919516,1.07883341987814,0.508746430012667,0.766934126698257,0.269035445624014,1.02583983056429,0.60208588650064,135,35,174,773
-0.7,"eld vs kin",0.913689007380672,0.695664794232783,1.1233739421779,0.304904335780998,0.439354313814274,0.142413953066872,0.812528234038901,0.456798367225272,162,29,79,847
-0.6,"cent vs mage",0.771386470182437,0.987232675945559,1.32960739237646,0.594896379247246,0.834778571019638,0.23845898337263,1.02365322517259,0.564194728932854,132,30,215,740
-0.6,"eld vs kin",0.912357621494431,0.618783915755499,1.1347620370278,0.234691952330454,0.35406655695395,0.13301305010179,0.704525192983029,0.443023807501487,158,23,59,877
-0.5,"cent vs mage",0.78132604252588,0.854462128340466,1.1583928001185,0.508592914878546,0.757878937909376,0.246969986045141,1.01332104653576,0.570525282378709,121,37,171,788
-0.5,"eld vs kin",0.963134158938678,0.464448986922398,0.747745455045451,0.153462076272557,0.263307085196684,0.134677262925519,0.613722410307843,0.427348534348842,157,18,46,896
-0.4,"cent vs mage",0.891579081757465,0.474825909973033,0.716510989683659,0.245786122726867,0.487329745100547,0.249236526218394,0.809157721269682,0.57763992857238,146,19,85,867
-0.4,"eld vs kin",0.918749842333459,0.426777787741912,1.02477209816823,0.119170531199809,0.240805440369973,0.138836709883735,0.59802625590337,0.446656577281548,164,11,31,911
-0.3,"cent vs mage",0.954930203634681,0.286212172014397,0.483578026268307,0.126114355587307,0.426625224185281,0.28839897385433,0.746900869993409,0.594231859662304,168,14,49,886
-0.3,"eld vs kin",0.973215299415395,0.307544113352169,0.586216719033972,0.0772084974179086,0.205187762827372,0.13364749552906,0.537519967683716,0.449413739735927,156,11,33,917
-0.2,"cent vs mage",0.944692723274982,0.305901233500272,0.543425134249597,0.121004170044468,0.357537498172948,0.235400783907197,0.693372699836247,0.552383284862016,158,14,44,901
-0.2,"eld vs kin",0.971376718183538,0.282924411920867,0.696391845345832,0.0549841897784707,0.192678562879642,0.135438603701984,0.538132852761813,0.436051724622422,181,8,19,909
-0.1,"cent vs mage",0.990512631246832,0.122082286520276,0.223176596882451,0.0405968694021424,0.284948091732901,0.235651095452348,0.593512588325436,0.5461477388034,162,2,13,940
-0.1,"eld vs kin",0.903208211936623,0.409751998385972,1.12541167356591,0.0347259713684608,0.162215915410442,0.140505104762361,0.490355419256892,0.431849976059415,151,9,44,913
0,"cent vs mage",0.981976223081847,0.209925591983376,0.409471451726295,0.0528153934571548,0.289012686279015,0.240943823567137,0.594583988944904,0.553884693794039,150,0,46,921
0,"eld vs kin",0.992933087415535,0.134528998804763,0.331790961940733,-0.00349162261863294,0.121151067382615,0.133708986080294,0.428706417439864,0.446445605809381,173,14,7,923
0.1,"cent vs mage",0.983132888295501,0.115191929239623,0.25026555756587,0.0298649503797412,0.285553223090019,0.249811645941018,0.591487279581819,0.568616459156219,153,5,4,955
0.1,"eld vs kin",0.993960822625797,0.124037680438171,0.288069177068567,0.00798457550251749,0.134731098396515,0.12183192600973,0.445623727751773,0.428111945365386,168,8,5,936
0.2,"cent vs mage",0.963518735574839,0.252903265758682,0.469982058199312,-0.0673778715449054,0.162708609283773,0.232890725209776,0.464524310029715,0.531668410107547,141,22,20,934
0.2,"eld vs kin",0.983714247585842,0.275144525968954,0.499952269332693,0.0388279407715237,0.150804121979005,0.130884310872821,0.475010541671278,0.446701076234594,156,23,22,916
0.3,"cent vs mage",0.944350050755948,0.350590270404478,0.650855481061089,-0.0918536820170219,0.148031039114662,0.237816289549895,0.451022917629823,0.557380515322451,129,28,29,931
0.3,"eld vs kin",0.960261696821925,0.25414307519079,0.785748292224755,0.0142589860431611,0.135268669696022,0.127607896341911,0.431413040773857,0.438066261378799,158,24,18,917
