"constant","comparison","feature","clr_padj","tss_padj","clr_log10","tss_log10","clr_est","tss_est","clr_se","tss_se","direction"
-1,"cent vs mage","7",4.77112873967417e-14,5.79034815003078e-05,13.321378864687,4.23729532313066,4.13121171470573,2.76324400349188,0.418592292105798,0.415659587752197,"CLR_more_sig"
-1,"cent vs mage","12",0.036901862084392,1.74922534872986e-08,1.43295171859507,7.75715423774512,-1.40992249640057,-2.77129011534066,0.346297830885489,0.350611847733821,"TSS_more_sig"
-1,"cent vs mage","21",1.64954710250559e-13,0.0394627985333413,12.7826352787448,1.40381211967958,2.82429145118602,1.44997271598541,0.263719882409516,0.261318405324119,"CLR_more_sig"
-1,"cent vs mage","22",0.00607470052876917,2.43057106368034e-11,2.21647512709736,10.6142916767441,-1.64063345153191,-3.0123442477389,0.326728625056048,0.321936533889977,"TSS_more_sig"
-1,"cent vs mage","24",1.366396112534e-12,0.000112819521918218,11.8644233822431,3.94761574496446,4.44597464082447,3.062169549208,0.477824164342912,0.495511166516914,"CLR_more_sig"
-1,"cent vs mage","39",4.46739669136034e-11,0.00534284974121451,10.349945481775,2.27222703945718,3.54854998871183,2.21277110788816,0.423689191571694,0.41594510318772,"CLR_more_sig"
-1,"cent vs mage","42",2.83306992564413e-10,0.025997952491076,9.54774270611966,1.58506085421543,3.39366976450725,2.02427574700479,0.414444555576949,0.410307108104715,"CLR_more_sig"
-1,"cent vs mage","51",0.00407820816033223,3.46598908718193e-09,2.38953061068725,8.4601728090151,-1.82005163051063,-3.17205950262638,0.369997154321304,0.385931977190457,"TSS_more_sig"
-1,"cent vs mage","53",0.0297591002003235,6.20641546813116e-08,1.52638020430701,7.2071591553588,-1.72447701868958,-3.09374373375701,0.450912378494941,0.448099000575295,"TSS_more_sig"
-1,"cent vs mage","57",0.00421101920784516,2.15198601159452e-08,2.37561277761509,7.66716055601078,-1.97511824126248,-3.41138693706938,0.427374453474588,0.454061045288184,"TSS_more_sig"
-1,"cent vs mage","72",0.0354709123071431,6.51858400332284e-08,1.45012764138814,7.18584673345989,-1.46473645389171,-2.80284674677306,0.357783899949942,0.380912997156564,"TSS_more_sig"
-1,"cent vs mage","100",0.00117842342888361,1.94398621695245e-08,2.9286986316324,7.7113068185881,-2.73810667007361,-4.00880234131568,0.564252851718031,0.558818235113926,"TSS_more_sig"
-1,"cent vs mage","103",0.0494877325212478,8.49025501419195e-07,1.3055024446748,6.07107926504544,-1.54878186234211,-2.9240097460876,0.432363018319042,0.441346838494732,"TSS_more_sig"
-1,"cent vs mage","114",4.63761016973134e-10,7.75074449066437e-15,9.33370576027974,14.1106565797313,-3.6782207541065,-5.00296289632868,0.45006155860965,0.481706385937276,"TSS_more_sig"
-1,"cent vs mage","124",0.0493185449865128,2.89283778961775e-07,1.30698974459962,6.53867591790714,-1.64548643867564,-3.03426444959437,0.43492447642742,0.422470971842444,"TSS_more_sig"
-1,"cent vs mage","132",1.16031966772885e-11,0,10.9354223462859,15.1106565797313,-4.32534669373903,-5.70581218129875,0.477835910634762,0.479103098058884,"TSS_more_sig"
-1,"cent vs mage","143",2.99106267878657e-10,0,9.52417448607737,15.1106565797313,-3.90571855038947,-5.28137097271658,0.443448960023657,0.454471410053758,"TSS_more_sig"
-1,"cent vs mage","145",0.038473828600646,1.37085225379385e-05,1.41483459410909,4.86300934960123,-1.84770926110051,-3.08332021216776,0.484742300341307,0.504436365541622,"TSS_more_sig"
-1,"cent vs mage","146",0.00139856554455667,8.27213142865485e-08,2.85431717536164,7.08238257407048,-2.00076185546496,-3.32310325097788,0.398971129398941,0.419326443135369,"TSS_more_sig"
-1,"cent vs mage","148",0.000152316779363652,4.69115190739723e-09,3.81725225172865,8.3287205036386,-2.76017764700872,-4.0825332188559,0.484989380842333,0.504041577545423,"TSS_more_sig"
-1,"cent vs mage","169",6.12375904085809e-05,2.03928196204554e-11,4.21298190636119,10.6905227221893,-2.44273587970819,-3.78379140902419,0.411572502016266,0.438288043725583,"TSS_more_sig"
-1,"cent vs mage","173",0.0405679927068431,1.6480944057504e-05,1.39181648053596,4.78301791477351,-2.05700040426034,-3.48168948407558,0.492602001662418,0.495454681913876,"TSS_more_sig"
-1,"cent vs mage","191",0.0158790301714108,2.7355386076752e-08,1.79917602609449,7.56295715148349,-1.96094535076779,-3.32918118308544,0.455702921820452,0.457094029713836,"TSS_more_sig"
-1,"cent vs mage","194",0.0230096418262711,1.12112469255798e-06,1.63809014161318,5.95034608207205,-1.84456255739011,-3.20139967117781,0.461297134532066,0.484249955326735,"TSS_more_sig"
-1,"cent vs mage","210",1.63421864004161e-11,0,10.7866898402079,15.1106565797313,-4.29342246352554,-5.65064958600847,0.464060106695461,0.457382840729652,"TSS_more_sig"
-1,"cent vs mage","219",1.90168483721464e-10,0,9.7208614562734,15.1106565797313,-3.91933213112426,-5.39413230450958,0.458569819646386,0.46352591526472,"TSS_more_sig"
-1,"cent vs mage","242",0.0365557394867838,3.94703244827602e-07,1.43704442631899,6.40372930328543,-1.5816166263876,-2.96547742761283,0.427309370123456,0.437861920132005,"TSS_more_sig"
-1,"cent vs mage","255",0.0416574918794548,7.81055722403901e-07,1.38030688166872,6.10731798139892,-2.03426093143224,-3.38639725062214,0.509233046446196,0.521081505313507,"TSS_more_sig"
-1,"cent vs mage","269",0.0478232342667152,1.34836568837879e-08,1.32036105606028,7.87019230742469,-1.42278782830394,-2.83928585854661,0.350769999520556,0.347804991103725,"TSS_more_sig"
-1,"cent vs mage","274",0.0172228723854884,1.78503831276373e-07,1.76389441634708,6.74835245807094,-1.95881330440563,-3.36763413199731,0.482502382866171,0.500089946420383,"TSS_more_sig"
-1,"cent vs mage","287",0.00744274054376364,1.56153674630094e-07,2.12826712038415,6.80644779143509,-2.00749778516263,-3.28662710270707,0.436302639812851,0.441887868575776,"TSS_more_sig"
-1,"cent vs mage","289",0.000683343961882052,5.4268108035526e-09,3.16536063871148,8.26545531908855,-2.45507937116885,-3.92999632572171,0.479727627117768,0.494868447253539,"TSS_more_sig"
-1,"cent vs mage","328",0.0367967199806302,3.48190579059935e-05,1.43419089213626,4.45818298370012,-1.61457618332701,-2.91161455486158,0.439161839491592,0.457133474564174,"TSS_more_sig"
-1,"cent vs mage","353",4.68094193643161e-05,2.10458765844195e-13,4.32966674593595,12.6768329806858,-3.22928235812102,-4.64150026739423,0.441711097187774,0.448928921100831,"TSS_more_sig"
-1,"cent vs mage","363",0.00967845025412414,1.38203035547105e-08,2.01419417781191,7.85948241783824,-1.91260235550333,-3.37640057109488,0.421977328877717,0.442871514638976,"TSS_more_sig"
-1,"cent vs mage","372",0.0492410607410176,9.47827626774872e-08,1.30767260015565,7.02327063686787,-2.03341115032287,-3.41084578975403,0.472853118111671,0.477022298379305,"TSS_more_sig"
-1,"cent vs mage","381",0.0464779138710383,3.9491480298419e-06,1.33275337318719,5.4034965868665,-1.86530638707497,-3.17405357319958,0.482843876546475,0.503937726707358,"TSS_more_sig"
-1,"cent vs mage","400",0.0446429372594252,2.58866125175793e-06,1.35024723894515,5.58692477695701,-1.60118160975225,-2.96859430238942,0.430785630206085,0.442490684470362,"TSS_more_sig"
-1,"cent vs mage","401",0.0190012584600116,2.00157441216596e-08,1.72121763461878,7.6986282595722,-1.93788453201868,-3.30877613242605,0.42808104833056,0.429158263570578,"TSS_more_sig"
-1,"cent vs mage","431",0.0222878898203208,5.17467604209339e-07,1.65193104783975,6.28611683380054,-1.63321420315682,-3.0887845407655,0.427640310330234,0.451881910458983,"TSS_more_sig"
-1,"cent vs mage","433",0.0452578301631598,3.20888718568912e-07,1.34430627165296,6.49364555105468,-1.87175172501818,-3.18686833467307,0.461189388271034,0.452525345179317,"TSS_more_sig"
-1,"cent vs mage","451",0.0342218191497812,2.12190107703633e-05,1.46569690812885,4.67327486675828,-1.68427561123184,-3.00296766242149,0.467455508605587,0.473095817704811,"TSS_more_sig"
-1,"cent vs mage","453",0.00880244864588618,7.59501329310794e-07,2.0553964999554,6.11947146168028,-2.01446132854173,-3.41310751263084,0.448779523247079,0.443081336219111,"TSS_more_sig"
-1,"cent vs mage","464",0.0249740341537135,3.47871161333226e-08,1.60251129869051,7.45858157295685,-2.0356176000109,-3.55792811901301,0.461348829504167,0.473573364652843,"TSS_more_sig"
-1,"cent vs mage","488",0.018813231584086,1.79349693638959e-06,1.72553659846387,5.74629936083927,-1.94321424652973,-3.41798133927042,0.458116554552347,0.469017507464453,"TSS_more_sig"
-1,"cent vs mage","528",0.0117804438567859,2.92964727512173e-09,1.92883834614303,8.53318466486418,-1.90406578195539,-3.45237895938388,0.426292546975332,0.436846020997518,"TSS_more_sig"
-1,"cent vs mage","531",0.00085081382780571,1.89077959660964e-08,3.07016546036438,7.72335909281277,-2.21692281147485,-3.55344139845619,0.461610969176212,0.480492533895262,"TSS_more_sig"
-1,"cent vs mage","546",0.0108079524197651,6.06301730413105e-08,1.96625657589192,7.21731119226678,-2.13582417801709,-3.54023889081745,0.433946876165752,0.442068000409041,"TSS_more_sig"
-1,"cent vs mage","675",1.83202183472815e-06,3.1786798106602e-12,5.73706935455166,11.4977532164913,-2.99861817638232,-4.2553556941877,0.469220603756932,0.468398537121551,"TSS_more_sig"
-1,"cent vs mage","737",0.0107889111481152,6.85569414515856e-08,1.96702238351234,7.1639485659438,-2.06618139072012,-3.42922291008056,0.461993272835175,0.457643720657414,"TSS_more_sig"
-1,"cent vs mage","769",0.00473888933435497,1.041639036484e-08,2.32432343311114,7.98228275284278,-2.00231297685368,-3.45318893009721,0.430394005203641,0.460921695342901,"TSS_more_sig"
-1,"cent vs mage","770",6.04526506990783e-05,2.50499755969111e-13,4.2185846516478,12.6011926928759,-2.12839648772073,-3.47941472580106,0.333363011684619,0.355672527646698,"TSS_more_sig"
-1,"cent vs mage","816",0.00640225128673879,2.76355483664161e-07,2.19366728390912,6.55853191338198,-1.80176012470062,-3.14046866451606,0.396132063865744,0.413676497779376,"TSS_more_sig"
-1,"cent vs mage","819",0.0260056756062854,4.12943691145861e-07,1.58493185912544,6.38410916454668,-1.93077423723134,-3.2679596007441,0.424527502391381,0.445190721745594,"TSS_more_sig"
-1,"cent vs mage","849",0.0032207782631788,1.40307590383963e-08,2.4920391734705,7.85291883379913,-1.90429803513572,-3.23930338319341,0.380300360348232,0.415581378832781,"TSS_more_sig"
-1,"cent vs mage","859",0.0485371951296125,1.16892406983916e-06,1.31392532431492,5.93221369852238,-1.78568838872139,-3.26305198308145,0.454635791329439,0.46388222157504,"TSS_more_sig"
-1,"cent vs mage","884",0.00821195693727606,5.33648899550076e-09,2.08555333669458,8.27274438180563,-1.77067458726195,-3.1119111332285,0.392193549105304,0.390923088800114,"TSS_more_sig"
-1,"cent vs mage","912",0.0208781428698419,8.78511703032353e-07,1.68030813484842,6.05625244870651,-2.05381195127801,-3.52179652070957,0.4497137028363,0.466574013349921,"TSS_more_sig"
-1,"cent vs mage","917",0.00180542958625574,6.02448406300814e-09,2.74341944487045,8.22008014015275,-2.45382729960749,-3.7845569319732,0.484033858248722,0.51061316310735,"TSS_more_sig"
-1,"cent vs mage","921",1.15168422797983e-07,0,6.93866658067377,15.1106565797313,-3.87081188243286,-5.18009145114099,0.467207726841349,0.473673060975903,"TSS_more_sig"
-1,"cent vs mage","925",0.0209987347637069,5.16805236943408e-07,1.67780687201342,6.28667309415364,-1.8564651800608,-3.22385493204341,0.432832646553374,0.431223463888288,"TSS_more_sig"
-1,"cent vs mage","966",0.00291936462037256,5.29510085456403e-07,2.53471165947362,6.27612576357094,-2.29877107816268,-3.74332391450693,0.510110204007942,0.528115277311558,"TSS_more_sig"
-1,"cent vs mage","975",0.00389469917577795,5.39694017201523e-09,2.4095260813406,8.26785239629604,-1.92318604347013,-3.44187424203264,0.440583196523843,0.438263496459239,"TSS_more_sig"
-1,"cent vs mage","1004",0.00445556799370279,9.86948306355723e-08,2.35109692444257,7.005705593888,-2.33657566808242,-3.72669173452077,0.449084172696518,0.460801162421225,"TSS_more_sig"
-1,"cent vs mage","1019",4.82026949268494e-05,1.12335465604954e-13,4.31692868045115,12.9494831103022,-2.60610202583284,-3.98402464787353,0.388208263347709,0.384571916767292,"TSS_more_sig"
-1,"cent vs mage","1040",0.0288095685992478,2.08908276564032e-07,1.54046324489102,6.68004435372537,-1.80210086674133,-3.15707692786516,0.447393443133361,0.453579793209668,"TSS_more_sig"
-1,"cent vs mage","1058",0.000712793037797771,2.98269265372358e-11,3.14703655091952,10.5253914954374,-2.66502997595744,-3.98158374095947,0.463714566900594,0.459807246661525,"TSS_more_sig"
-1,"cent vs mage","1074",1.5243674327887e-08,0.0408035392677048,7.81691033824627,1.38930216490597,3.30437384719505,1.95343560916518,0.376637313428884,0.37115194721957,"CLR_more_sig"
-1,"cent vs mage","1079",0.00185869757690597,8.07704412661752e-10,2.73079126722938,9.09274754446866,-2.03579294193185,-3.40266036216341,0.399943692852248,0.41772786904998,"TSS_more_sig"
-1,"cent vs mage","1087",2.64055684794824e-10,0.0136516116072812,9.57830447824764,1.86481607603463,3.87830007192718,2.47132679149337,0.487785515611417,0.496119815241361,"CLR_more_sig"
-1,"cent vs mage","1098",3.39401782044098e-13,4.06737091357718e-06,12.4692858817299,5.39068622140542,4.48727999255439,3.13099943065447,0.445940142269296,0.443533229036643,"CLR_more_sig"
