"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","n_both","n_tss_only","n_clr_only","n_neither"
-1,"cent vs mage",0.55876981506321,2.12298109997872,2.64258282109888,1.57629862374961,176,55,592,294
-1,"eld vs kin",0.753898937816241,1.55271003321581,2.49251575436828,0.747192393125533,163,53,225,676
-0.9,"cent vs mage",0.61481032808487,1.87728107450368,2.35939315059505,1.30297941061475,175,50,518,374
-0.9,"eld vs kin",0.807839268345631,1.35545942055022,2.1129933516386,0.64219118324278,170,47,184,716
-0.8,"cent vs mage",0.665907313446253,1.6336770596947,2.09389196633525,1.11462930170999,187,44,403,483
-0.8,"eld vs kin",0.839552623357075,1.16994852765417,1.86279095186619,0.51387653311708,173,42,148,754
-0.7,"cent vs mage",0.729230517331077,1.38701770149592,1.80798307360461,0.90404902722188,190,43,296,588
-0.7,"eld vs kin",0.866875519770642,0.999846101337221,1.63168222969838,0.401300661820691,177,38,114,788
-0.6,"cent vs mage",0.783638879868968,1.17123756140805,1.55406960753729,0.755750993107832,190,38,232,657
-0.6,"eld vs kin",0.892791853614835,0.845613417599594,1.53134169830131,0.298972621144969,185,37,84,811
-0.5,"cent vs mage",0.841469451805843,0.950219535504111,1.2918607723479,0.569408225114917,205,25,175,712
-0.5,"eld vs kin",0.950740731765189,0.659071779212817,1.0411857106519,0.212805306396113,188,30,66,833
-0.4,"cent vs mage",0.890989239600065,0.73639754232169,1.02829192119385,0.4095953337422,209,24,132,752
-0.4,"eld vs kin",0.948301001864574,0.551920692371931,1.05858781053983,0.139704237808015,192,26,44,855
-0.3,"cent vs mage",0.931475831283268,0.557612269298406,0.808448192490359,0.283723557041274,211,19,94,793
-0.3,"eld vs kin",0.980254397864116,0.379703496749433,0.646522392193431,0.0861351674798867,194,22,35,866
-0.2,"cent vs mage",0.965009530423223,0.363481954668227,0.565916863028516,0.164091346693901,218,15,49,835
-0.2,"eld vs kin",0.976262708658209,0.280274503185892,0.741645346538042,0.0401928405528923,203,18,13,883
-0.1,"cent vs mage",0.987100038960011,0.190060262440546,0.342513191847218,0.0670367246658019,221,6,25,865
-0.1,"eld vs kin",0.983501581717165,0.161506614771998,0.582761067867077,0.0109026517918395,206,16,9,886
0,"cent vs mage",0.994786850687769,0.09335477573693,0.214274293885226,-0.00204800721235343,221,11,6,879
0,"eld vs kin",0.997018541753937,0.0873735558022436,0.241829013260175,0.000193718456316317,213,5,2,897
0.1,"cent vs mage",0.986965198592606,0.187415619116828,0.358348891020011,-0.0490917557221161,203,21,8,885
0.1,"eld vs kin",0.995040503911837,0.155663473953534,0.33040347787978,0.00178458026582393,204,15,7,891
0.2,"cent vs mage",0.968323969839203,0.332190151217625,0.578281196001014,-0.105147665544819,183,50,17,867
0.2,"eld vs kin",0.990924013747852,0.255450013870838,0.470243787949931,0.016487724882951,193,27,17,880
0.3,"cent vs mage",0.954614118072898,0.46199422657021,0.751667266923716,-0.129693681139806,165,61,31,860
0.3,"eld vs kin",0.964898102515157,0.39600267822256,0.894458414735927,0.046310227459507,192,29,24,872
0.4,"cent vs mage",0.929950801599322,0.592081985543586,0.971436673431466,-0.132465387422311,157,68,39,853
0.4,"eld vs kin",0.953757216863486,0.522280499198766,1.05391666661647,0.102444404323458,181,36,38,862
0.5,"cent vs mage",0.896628634527471,0.731960581028025,1.23337498699372,-0.105162919894127,143,89,48,837
0.5,"eld vs kin",0.959162241133147,0.661032151483923,1.10505987228582,0.169874973929556,174,45,50,848
0.6,"cent vs mage",0.871460051445784,0.84678625651667,1.4449509905532,-0.0705964467915147,139,91,60,827
0.6,"eld vs kin",0.946382405127007,0.800775840661963,1.28196746354315,0.264217064432023,167,51,68,831
0.7,"cent vs mage",0.835649918663174,1.00038479342787,1.74234654328906,-0.0210349940152759,124,110,78,805
0.7,"eld vs kin",0.88341104642395,0.979115046689654,1.78146994723215,0.346228616927079,159,54,86,818
0.8,"cent vs mage",0.813415630280168,1.1130833908905,1.94183927719268,0.0534208875185745,114,114,102,787
0.8,"eld vs kin",0.882241814685359,1.12925282770505,1.86859776199904,0.449629427294928,148,71,104,794
0.9,"cent vs mage",0.786643698043444,1.27126097830939,2.21869788242683,0.128235581367047,104,125,125,763
0.9,"eld vs kin",0.862217099363757,1.30705716277154,2.11432218367063,0.572326580045638,140,76,128,773
1,"cent vs mage",0.657539593096452,1.47582905341145,2.75522884272125,0.241842046896969,98,131,141,747
1,"eld vs kin",0.843600330652194,1.47338293589984,2.32106757365167,0.691912020836604,139,77,152,749
