"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","n_both","n_tss_only","n_clr_only","n_neither"
-1,"cent vs mage",0.314185334404317,2.60225456581846,3.37815792941973,-1.67259272102205,112,660,91,254
-1,"eld vs kin",0.731957508026154,1.62679111203258,2.57790848182672,-0.750463436041965,158,221,59,679
-0.9,"cent vs mage",0.363801416699939,2.33758045626574,3.09468157701949,-1.47183621182495,118,567,86,346
-0.9,"eld vs kin",0.775254877182026,1.42883373030711,2.23580244852585,-0.628361343832927,158,190,57,712
-0.8,"cent vs mage",0.432806540176741,2.09221522459012,2.80642077253652,-1.26368785530542,124,473,79,441
-0.8,"eld vs kin",0.796358986908214,1.27315302477538,2.13321530719914,-0.522422638449591,173,148,50,746
-0.7,"cent vs mage",0.486847958480381,1.85825009518788,2.54435260114766,-1.06094720955044,127,368,76,546
-0.7,"eld vs kin",0.853911763999997,1.07424824837628,1.72986354128642,-0.388636209113272,173,119,44,781
-0.6,"cent vs mage",0.570708602093236,1.6368503991712,2.2867085693799,-0.869682553683846,133,288,71,625
-0.6,"eld vs kin",0.895204905184851,0.915295946338427,1.50703140984519,-0.2929902868563,178,96,41,802
-0.5,"cent vs mage",0.639385050815751,1.43554353543139,2.05784389447373,-0.715858887960276,144,241,61,671
-0.5,"eld vs kin",0.91314343927165,0.763727987860765,1.36069599003193,-0.21524478338504,183,72,36,826
-0.4,"cent vs mage",0.719841483599394,1.23056567331056,1.79225406197989,-0.56542210196712,147,190,56,724
-0.4,"eld vs kin",0.952742510286719,0.60135571237336,1.01001967789688,-0.142129130909083,181,53,38,845
-0.3,"cent vs mage",0.788316652701585,1.03211414755607,1.54874853255968,-0.440580877806936,152,145,52,768
-0.3,"eld vs kin",0.955947935194989,0.478564614162101,0.952622272227973,-0.084336723498448,188,34,32,863
-0.2,"cent vs mage",0.852509625631659,0.834379752308326,1.27275198205882,-0.312618370432858,158,107,48,804
-0.2,"eld vs kin",0.968064121266267,0.35256789650419,0.809640867421228,-0.0396887398988213,194,19,27,877
-0.1,"cent vs mage",0.904486604960324,0.669152300490628,1.06338810036981,-0.209290904995497,165,89,40,823
-0.1,"eld vs kin",0.991566001424482,0.232696545601992,0.45822401263567,-0.00861180452583873,197,14,20,886
0,"cent vs mage",0.946609285858403,0.494675716958813,0.817707243907164,-0.129592621938768,170,58,36,853
0,"eld vs kin",0.996509819768818,0.134803200913956,0.291958809589111,0.00341188422842742,207,11,8,891
0.1,"cent vs mage",0.976285456114576,0.335546305625285,0.577214931775051,-0.0667957490987519,178,31,28,880
0.1,"eld vs kin",0.982255997772931,0.131290434168521,0.633659624275349,0.000952366178380785,211,5,10,891
0.2,"cent vs mage",0.99082176591684,0.189568019269904,0.361810440811538,-0.0200288813364001,187,16,17,897
0.2,"eld vs kin",0.976340373036921,0.21129539521501,0.724306565952074,-0.00989227068277404,204,8,16,889
0.3,"cent vs mage",0.992346293426622,0.112925484543611,0.302164160031663,-0.000682705612875293,196,1,11,909
0.3,"eld vs kin",0.98534999593197,0.31157744477649,0.591033932734318,-0.0459664154806444,192,22,26,877
0.4,"cent vs mage",0.991081540915582,0.151785677167195,0.341295456754448,0.00393287399539239,194,6,12,905
0.4,"eld vs kin",0.979164812815618,0.419253427130408,0.731946197283018,-0.0954461767677596,184,29,33,871
0.5,"cent vs mage",0.98236459911626,0.271638972709426,0.534100279309357,-0.0106240783952474,182,14,26,895
0.5,"eld vs kin",0.970246776723647,0.556100114128727,0.912975447044039,-0.163781210423429,182,42,36,857
0.6,"cent vs mage",0.966594318290726,0.419849745239669,0.806216124499949,-0.0549046277423015,171,29,33,884
0.6,"eld vs kin",0.932223187982663,0.738789635406944,1.35254870418159,-0.238364156956532,174,60,46,837
0.7,"cent vs mage",0.957971820200017,0.561793167857666,1.00965133346709,-0.118130101198509,156,44,45,872
0.7,"eld vs kin",0.919232961269569,0.889967062163575,1.51667857713928,-0.333251886678614,165,85,58,809
0.8,"cent vs mage",0.941245194907116,0.725553763208161,1.27003107175231,-0.186958362117835,152,61,56,848
0.8,"eld vs kin",0.874741333136978,1.07593455777441,1.90436140800079,-0.434969995512304,156,97,59,805
0.9,"cent vs mage",0.927268578948028,0.890807672666948,1.54165173562179,-0.270408581026286,142,84,63,828
0.9,"eld vs kin",0.848017132973983,1.24713441260022,2.19042376205431,-0.556343738286447,149,111,68,789
1,"cent vs mage",0.916198092751266,1.05138352307819,1.79037858901336,-0.366244294709894,131,112,70,804
1,"eld vs kin",0.863408061602412,1.40659106016137,2.2096715000573,-0.689362546920778,147,144,71,755
