asv	DRR182673	DRR182674	DRR182675	DRR182676	DRR182677	DRR182678	DRR182679	DRR182680	DRR182681	DRR182682	DRR182683	DRR182684	DRR182685	DRR182686	DRR182687	DRR182688	DRR182689	DRR182690	DRR182691	DRR182692	DRR182693	DRR182694	DRR182695	DRR182696	DRR182697	DRR182698	DRR182699	DRR182700	DRR182701	DRR182702	DRR182703	DRR182704	DRR182705	DRR182706	DRR182707	DRR182708	DRR182709	DRR182710	DRR182711	DRR182712	DRR182713	DRR182714	DRR182715	DRR182716	DRR182717	DRR182718	DRR182719	DRR182720	DRR182721	DRR182722	DRR182723	DRR182724	DRR182725	DRR182726	DRR182727	DRR182728	DRR182729	DRR182730	DRR182731
SV_1	701	0	966	1407	3624	1318	617	1152	378	494	518	462	516	220	749	725	1307	662	333	486	875	0	210	922	598	685	2380	884	1734	1757	494	273	332	1356	0	658	0	297	1666	65	43	169	1048	0	36	0	431	501	141	1064	1059	267	572	83	0	791	420	793	84
SV_2	373	0	211	0	0	859	126	463	0	866	3323	0	149	625	0	1352	3434	195	0	0	0	0	538	3256	0	0	164	920	1462	0	129	94	775	1721	0	3242	0	596	1962	293	92	938	0	0	0	0	915	0	0	76	1062	1039	0	344	375	0	842	1314	926
SV_3	0	0	1816	0	0	2181	0	525	403	2662	0	538	0	901	2702	2588	0	2074	1970	0	0	0	0	0	744	0	1291	0	0	3322	2071	0	0	0	1509	0	0	406	0	0	0	1386	0	0	0	0	0	0	0	0	1508	0	130	0	0	0	189	0	0
SV_4	222	0	203	1560	537	0	373	409	0	0	852	35	455	1171	492	539	523	1334	280	88	151	3835	73	19	184	0	331	394	577	1109	960	35	0	263	0	361	0	716	335	22	144	219	412	5044	0	0	245	37	38	136	0	449	374	0	482	2720	321	423	202
SV_5	1174	0	0	0	2092	448	317	0	0	88	713	325	0	0	0	0	0	231	0	479	0	1720	1981	267	0	0	0	247	1655	988	452	0	0	0	0	327	0	0	0	39	776	320	0	0	0	96	0	853	0	1034	0	889	0	0	4053	1327	0	74	502
SV_6	224	0	618	0	1853	0	1231	685	68	25	473	111	352	447	330	916	1829	450	646	290	1303	0	363	0	423	0	1377	1908	1325	0	188	41	166	586	0	119	0	178	49	166	22	44	0	0	0	0	0	0	0	22	0	0	86	0	0	0	422	194	0
SV_7	188	0	281	0	0	0	365	169	24	252	128	26	5049	176	0	301	0	2712	0	0	772	0	0	0	912	0	0	527	448	0	0	0	0	724	0	0	0	1428	134	0	0	109	0	0	0	0	0	0	0	0	1142	0	299	0	0	0	0	0	262
SV_8	477	540	318	0	0	60	845	431	70	0	0	0	505	0	211	1754	141	458	1160	454	212	0	197	531	872	0	188	1049	2917	0	285	23	123	0	0	0	0	260	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	43	43
SV_9	0	77	10	843	325	40	0	0	82	0	22	0	31	89	209	548	133	62	397	0	105	2462	0	18	0	675	43	34	186	132	36	692	0	0	0	0	275	17	27	0	0	0	2106	1023	346	180	252	103	31	0	37	262	29	138	1852	233	17	0	142
SV_10	392	224	209	845	0	701	199	101	202	125	347	339	0	0	424	0	214	112	0	342	335	0	1120	0	81	0	811	133	1594	1793	0	0	110	0	0	113	0	52	292	35	250	62	100	0	95	0	0	0	0	43	0	0	0	0	0	0	850	482	140
SV_11	25	31	75	21	0	0	0	53	100	0	18	67	43	77	85	89	227	0	53	189	0	48	92	32	0	0	17	594	66	75	51	2944	563	286	141	0	1932	170	0	634	0	2213	22	171	0	451	24	0	0	12	76	0	25	39	0	0	290	0	14
SV_12	692	0	520	0	0	59	80	516	0	0	0	123	117	0	78	0	1684	0	0	189	95	0	83	248	702	0	660	1184	0	0	102	0	406	1498	0	68	0	81	234	0	224	375	246	0	0	0	0	0	302	495	0	0	0	0	0	0	226	167	170
SV_13	0	0	0	1088	0	329	0	0	0	256	0	640	0	0	0	0	0	0	0	87	0	0	151	249	0	1594	22	0	367	2560	136	0	0	200	0	0	565	0	0	0	0	100	0	0	401	0	0	0	0	259	0	922	0	0	0	82	0	796	492
SV_14	166	0	220	0	372	61	80	352	28	357	270	102	246	247	935	312	1062	637	0	135	83	0	0	0	128	0	410	291	244	246	174	163	262	123	0	205	0	92	707	614	120	205	0	0	0	0	0	0	1034	0	20	184	0	0	0	0	181	127	74
SV_15	0	835	0	20	0	0	0	0	0	101	1359	213	0	309	286	1272	0	0	0	128	552	25	62	0	0	7	0	49	299	594	189	0	0	82	0	91	0	505	343	163	97	149	0	0	0	0	0	0	25	0	42	52	0	163	1038	0	320	0	1436
SV_16	0	275	170	0	0	0	0	0	228	0	0	0	0	0	474	1150	0	314	173	0	0	0	0	0	40	5455	333	0	0	0	0	0	0	188	10	75	138	0	123	0	0	0	198	0	36	0	111	0	89	33	0	0	1034	0	0	0	0	0	0
SV_17	348	867	109	0	657	458	481	306	225	1253	108	650	373	429	1110	0	154	141	0	47	118	0	106	0	75	0	192	575	0	0	93	0	106	199	0	0	0	61	48	0	81	50	83	0	0	0	0	0	0	44	0	0	0	0	0	0	45	0	0
SV_18	47	556	282	162	69	153	221	634	32	324	0	924	121	895	0	0	0	0	0	407	96	0	74	0	58	46	99	136	0	0	493	117	76	25	0	209	0	47	764	0	300	34	173	0	58	0	0	0	0	201	0	0	316	0	0	648	76	408	120
