asv	SRR3679926	SRR3679927	SRR3679928	SRR3679929	SRR3679930	SRR3679931	SRR3679932	SRR3679933	SRR3679934	SRR3679935	SRR3679936	SRR3679937	SRR3679938	SRR3679939	SRR3679940	SRR3679941	SRR3679942	SRR3679943	SRR3679944	SRR3679945	SRR3679946	SRR3679947	SRR3679948	SRR3679949	SRR3679950	SRR3679951	SRR3679952	SRR3679953	SRR3679954	SRR3679955	SRR3679956	SRR3679957	SRR3679958	SRR3679959	SRR3679960	SRR3679961	SRR3679962	SRR3679963	SRR3679964	SRR3679965	SRR3679966	SRR3679967	SRR3679968	SRR3679969	SRR3679970	SRR3679971	SRR3679972	SRR3679973	SRR3679974	SRR3679975	SRR3679976	SRR3679977	SRR3679978	SRR3679979	SRR3679980	SRR3679981	SRR3679982	SRR3679983	SRR3679984	SRR3679985	SRR3679986	SRR3679987	SRR3679988	SRR3679989	SRR3679990	SRR3679991	SRR3679992	SRR3679993	SRR3679994	SRR3679995	SRR3679996	SRR3679997	SRR3679998	SRR3679999	SRR3680000	SRR3680001	SRR3680002	SRR3680003	SRR3680004	SRR3680005	SRR3680006	SRR3680007	SRR3680008	SRR3680009	SRR3680010	SRR3680011	SRR3680012	SRR3680013	SRR3680014	SRR3680015	SRR3680016	SRR3680017	SRR3680018	SRR3680019	SRR3680020	SRR3680021	SRR3680022	SRR3680023	SRR3680024	SRR3680025	SRR3680026	SRR3680027	SRR3680028	SRR3680029	SRR3680030	SRR3680031	SRR3680032	SRR3680033	SRR3680034	SRR3680035	SRR3680036	SRR3680037	SRR3680038	SRR3680039	SRR3680040	SRR3680041	SRR3680042	SRR3680043	SRR3680044	SRR3680045	SRR3680046	SRR3680047	SRR3680048	SRR3680049	SRR3680050	SRR3680051	SRR3680052	SRR3680053	SRR3680054	SRR3680055	SRR3680056	SRR3680057	SRR3680058	SRR3680059	SRR3680060	SRR3680061	SRR3680062	SRR3680063	SRR3680064	SRR3680065	SRR3680066	SRR3680067	SRR3680068	SRR3680069	SRR3680070	SRR3680071	SRR3680072	SRR3680073	SRR3680074	SRR3680075	SRR3680076	SRR3680077	SRR3680078	SRR3680079	SRR3680080	SRR3680081	SRR3680082	SRR3680083	SRR3680084	SRR3680085	SRR3680086	SRR3680087	SRR3680088	SRR3680089	SRR3680090	SRR3680091	SRR3680092	SRR3680093
SV_1	0	1300	0	6625	0	38	22316	928	0	247	0	1604	916	2508	1795	394	344	0	2740	0	783	0	0	0	24	0	1590	8	0	2072	4345	228	9	1776	0	0	56	0	212	746	724	0	0	1302	0	1737	0	0	4723	0	0	0	0	0	0	0	1110	0	0	0	0	0	1469	2	0	0	0	1701	0	1062	0	72	0	35	847	855	0	0	4	4108	0	0	15	1680	2301	0	1888	0	0	0	0	0	0	0	4	0	0	9	0	421	62	0	0	0	0	0	0	0	7486	0	8207	6	5	1197	13	1662	0	0	0	0	0	0	4707	3952	2706	0	0	0	7	5774	0	0	0	0	0	0	621	4148	0	0	0	0	0	0	0	0	7270	9	4454	0	0	0	0	4168	0	0	0	3625	0	0	0	0	0	0	21	0	3804	0
SV_2	2	873	73	45	57	0	197	0	0	0	22	44	0	0	0	230	0	45	0	17	0	9	7	1735	753	214	0	0	0	0	0	10	18	94	107	798	99	62	38	2081	922	0	1844	115	2085	46	11	389	824	5832	777	39	0	743	2149	612	0	695	92	102	4546	2190	2594	65	527	0	452	0	0	1009	1957	677	558	69	1101	1982	1039	0	0	0	400	0	0	0	81	3400	0	0	303	72	39	30	175	100	2322	0	394	3846	303	1063	695	1525	0	1510	79	1689	0	284	38	545	18	1102	0	187	0	0	194	86	2326	17	0	0	38	0	111	214	115	2137	395	277	58	519	1180	1110	30	48	23	7	931	16	1077	10	121	549	67	268	105	117	24	456	0	0	0	2043	0	1209	75	6507	41	2434	213	0	357	3433	0	14	8	14
SV_3	0	0	0	204	150	1502	2020	74	0	0	436	0	119	0	100	224	0	7	0	3227	349	0	0	0	1602	0	0	264	2243	32	0	31	0	354	43	163	256	1311	0	866	121	295	1188	66	1101	251	273	203	0	0	5902	0	752	1193	0	795	0	0	1029	452	0	0	0	557	0	0	0	743	0	88	2485	102	264	0	0	118	23	0	0	0	0	0	3961	150	0	0	183	0	0	0	0	213	3550	47	0	2085	1793	0	0	1216	235	580	2432	0	0	0	0	0	667	3603	0	0	268	0	0	352	200	0	109	6409	397	789	0	38	77	0	0	283	579	48	255	406	0	1122	104	1361	0	151	247	0	974	0	1279	71	0	0	0	217	0	123	563	0	1005	98	208	1172	292	0	541	0	0	0	0	0	813	235	0	130
SV_4	0	0	388	0	627	15	0	59	34	0	83	0	0	0	0	0	39	0	0	546	224	0	218	32	476	0	137	34	0	0	48	0	71	29	5200	5091	118	119	527	1106	350	249	972	37	0	0	0	392	148	0	276	353	72	319	0	1384	0	1905	70	0	0	0	0	525	4059	27	1167	21	0	0	0	0	11	56	25	0	7923	44	0	0	123	28	35	68	0	35	0	0	0	0	49	228	32	0	44	0	181	0	479	0	0	0	372	378	0	590	29	0	248	0	0	0	0	0	181	0	96	394	0	0	0	0	0	69	0	494	74	9	241	0	0	0	0	334	0	126	0	0	27	84	293	3621	310	0	0	2578	142	92	98	0	248	0	0	0	118	5	360	0	206	0	468	0	4515	0	300	529	0	64
SV_5	2231	0	1117	313	211	0	1030	144	1231	206	1040	55	0	0	0	532	175	0	141	150	0	0	1557	0	0	538	292	0	0	0	96	0	3053	0	0	235	0	106	78	164	143	643	0	119	189	196	0	167	157	33	0	0	0	511	258	0	229	0	281	421	0	0	0	76	0	2551	0	0	0	0	825	0	638	0	0	0	0	0	0	0	4405	0	0	0	0	0	0	0	124	0	0	529	175	0	0	0	325	0	0	919	138	0	0	158	2377	3835	227	0	0	1844	106	0	502	0	0	0	285	860	383	0	925	0	55	0	0	767	0	594	3072	0	897	324	0	0	80	0	0	102	0	47	0	0	314	0	0	152	218	190	199	0	0	0	2152	599	0	339	0	138	622	538	0	227	0	152	0	0	59	590
SV_6	364	100	0	819	427	1240	3346	122	223	159	903	1963	0	62	578	0	110	0	565	1537	882	367	173	0	0	40	242	0	0	250	267	496	0	104	0	0	0	0	247	0	60	137	0	0	516	1012	27	0	269	832	0	205	272	78	190	0	361	0	662	0	0	0	64	321	550	0	515	223	0	82	27	0	32	0	76	237	0	70	665	195	0	54	497	560	648	1382	51	17	0	1130	653	1584	428	144	0	194	0	0	0	33	200	0	58	0	469	0	426	0	427	1665	698	0	105	0	118	39	348	302	0	149	3854	358	498	157	88	0	156	0	0	62	0	276	0	865	650	666	0	263	182	1106	152	0	1418	0	43	0	609	0	609	103	1510	143	0	55	721	162	258	331	210	131	263	299	0	0	0	111	43	140
SV_7	1774	0	0	119	1589	3105	2644	250	0	198	1656	100	370	0	248	0	0	0	748	0	0	262	0	81	769	0	4	0	0	65	32	2	0	0	0	12	9	149	0	0	0	0	0	2	1763	0	0	0	69	0	101	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	5	8702	0	18	0	0	0	0	9	0	0	1641	0	0	4	0	432	20	0	0	0	0	0	0	0	0	0	9	480	0	6	791	0	120	0	3670	0	0	0	0	0	234	0	374	4	1527	0	0	0	0	0	15	0	0	1321	178	128	0	0	0	419	0	16	0	0	0	3320	1297	0	231	0	1732	1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0	0	22	0	0
SV_8	0	2024	0	353	0	0	0	129	0	150	0	1428	1467	1712	245	220	0	0	0	0	91	0	0	0	0	44	0	0	0	490	1173	3413	0	0	0	0	0	0	186	0	0	0	0	2650	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	263	0	1242	0	0	0	0	554	1155	0	0	0	2212	0	0	0	0	1184	0	511	0	0	0	0	0	0	108	0	9	0	0	0	202	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708	0	0	0	0	0	0	2699	297	1855	0	0	0	0	1809	0	0	0	0	0	0	0	993	0	0	0	0	0	9	0	0	6485	0	3905	0	0	0	0	585	0	0	0	0	0	0	0	0	0	0	0	0	697	0
SV_9	122	0	337	83	130	126	634	262	455	0	828	66	2096	61	0	165	0	625	239	99	0	392	1108	0	0	0	262	0	481	26	155	42	417	0	0	9	41	24	58	0	178	678	745	26	356	253	0	89	61	0	0	0	54	200	54	273	107	0	74	0	235	0	69	126	569	64	348	107	0	185	168	28	186	24	0	58	21	76	218	159	0	0	0	171	0	979	0	120	0	230	250	713	0	347	0	208	0	0	0	1542	0	0	483	93	959	0	154	1380	303	5522	530	0	1799	162	0	97	185	698	69	131	274	324	416	174	57	71	0	276	44	352	0	941	0	922	320	367	0	332	102	444	190	0	380	0	208	327	198	9	297	0	854	0	172	0	39	134	0	289	42	223	1219	57	0	19	0	19	0	788
SV_10	0	79	1764	0	457	109	416	258	0	0	210	0	0	0	0	0	285	0	79	1332	0	0	945	60	141	458	0	44	0	0	0	0	0	75	0	0	0	121	175	0	314	858	212	0	0	0	0	428	0	0	2095	0	179	123	0	0	225	0	316	413	0	0	182	0	19	0	0	0	0	0	468	0	0	389	28	0	0	0	794	37	4194	0	0	0	0	0	79	168	0	0	0	3165	0	0	75	0	323	0	9	1006	0	0	0	93	2640	181	0	0	0	764	0	0	1801	0	0	0	0	1856	0	0	0	0	0	0	0	391	0	1074	0	0	159	281	0	0	153	0	101	77	0	0	0	0	146	0	0	0	490	326	406	0	0	37	3116	0	0	183	0	190	374	0	0	0	0	0	171	118	0	169
