asv	DRR095587	DRR095588	DRR095589	DRR095590	DRR095591	DRR095592	DRR095593	DRR095594	DRR095595	DRR095596	DRR095597	DRR095598	DRR095599	DRR095600	DRR095601	DRR095602	DRR095603	DRR095604	DRR095605	DRR095606	DRR095607	DRR095608	DRR095609	DRR095610	DRR095611	DRR095612	DRR095613	DRR095614	DRR095615	DRR095616	DRR095617	DRR095618	DRR095619	DRR095620	DRR095621	DRR095622	DRR095623	DRR095624	DRR095625	DRR095626	DRR095627	DRR095628	DRR095629	DRR095630	DRR095631	DRR095632	DRR095633	DRR095634	DRR095635	DRR095636	DRR095637	DRR095638	DRR095639	DRR095640	DRR095641	DRR095642	DRR095643	DRR095644	DRR095645	DRR095646	DRR095647	DRR095648	DRR095649	DRR095650	DRR095651	DRR095652	DRR095653	DRR095654	DRR095655	DRR095656	DRR095657	DRR095658	DRR095659	DRR095660	DRR095661	DRR095662	DRR095663	DRR095664	DRR095665	DRR095666	DRR095667	DRR095668	DRR095669	DRR095670	DRR095671	DRR095672	DRR095673	DRR095674	DRR095675	DRR095676	DRR095677	DRR095678	DRR095679	DRR095680	DRR095681	DRR095682	DRR095683	DRR095684	DRR095685	DRR095686	DRR095687	DRR095688	DRR095689	DRR095690	DRR095691	DRR095692	DRR095693	DRR095694	DRR095695	DRR095696	DRR095697	DRR095698	DRR095699	DRR095700	DRR095701	DRR095702	DRR095703	DRR095704	DRR095705	DRR095706
SV_1	16	16	51	0	13	41	8	13	59	17	0	306	333	49	45	24	317	59	12	34	0	191	354	10	184	37	31	12	1835	68	22	0	18	191	0	0	22	0	44	7	0	0	62	0	425	8	68	0	48	7	119	56	0	0	9	26	14	0	0	126	618	0	99	39	9	0	12	40	0	0	9	412	96	2396	475	0	1687	14	0	54	499	0	278	148	19	178	3118	855	0	0	0	0	31	189	0	468	527	9	0	81	0	0	12	7	398	0	725	21	91	7	0	131	0	239	7	0	21	0	0	0
SV_2	428	828	220	110	0	0	159	0	433	15	0	127	0	0	0	163	0	15	133	73	0	292	28	143	408	0	0	37	0	0	0	104	320	99	52	0	0	201	0	0	49	285	96	69	0	61	0	0	138	34	39	33	589	112	0	129	74	63	145	0	0	0	0	0	78	40	0	210	0	0	0	55	0	0	195	358	0	0	153	100	0	51	0	0	0	164	0	26	0	166	0	80	0	202	0	0	0	0	42	175	151	0	196	54	0	25	0	0	0	0	114	11	0	110	0	111	0	0	23	0
SV_3	128	200	0	0	0	205	0	61	145	185	0	0	147	79	0	0	34	0	65	26	0	0	0	58	61	0	0	129	0	0	26	0	0	0	0	0	65	99	115	192	85	67	36	130	157	120	53	62	38	178	42	0	49	73	308	0	94	59	30	47	62	128	0	104	59	0	1022	0	0	708	0	64	94	47	99	0	66	135	68	132	0	0	5	84	92	0	67	0	0	270	341	0	99	77	0	0	88	170	0	0	0	267	0	110	0	290	135	0	0	72	0	92	0	56	75	118	32	96	73	0
SV_4	18	0	0	0	0	23	14	12	53	0	0	158	0	40	18	0	240	78	0	52	0	116	142	0	97	27	0	28	984	22	0	0	38	64	0	0	0	0	22	0	0	0	31	0	108	12	57	0	18	20	37	32	0	0	0	22	11	0	0	21	1218	0	46	25	0	0	23	0	0	20	15	358	32	504	1028	0	209	19	0	28	411	0	203	141	0	30	252	316	0	4	0	0	61	145	0	0	148	10	0	9	0	0	0	0	918	0	23	34	106	0	0	25	0	0	0	0	0	0	0	23
SV_5	58	137	187	44	44	69	104	0	0	302	102	85	287	0	0	76	0	0	513	0	0	236	0	175	252	0	0	95	0	0	12	104	59	121	39	54	0	32	0	0	66	0	161	134	0	0	0	0	130	0	35	54	0	0	44	109	76	0	0	0	12	0	0	20	100	0	0	399	58	0	0	33	0	0	0	0	0	152	172	0	0	18	0	0	63	74	0	0	0	0	0	17	141	62	0	0	46	0	178	0	0	0	0	77	29	0	0	0	0	0	126	0	92	262	0	0	0	0	0	0
SV_6	45	0	0	0	166	0	34	35	232	0	0	0	0	115	14	163	0	9	43	17	0	57	0	22	35	0	39	70	0	150	0	0	0	23	0	0	93	114	71	0	0	20	21	36	178	26	0	23	40	173	143	131	282	29	0	78	106	141	73	134	21	392	87	108	67	0	206	0	0	0	0	105	0	0	44	5	0	35	36	80	19	0	0	59	19	0	36	38	0	116	0	0	56	38	0	0	0	28	0	14	31	34	24	31	0	0	25	46	0	60	19	75	92	25	42	22	80	23	136	47
SV_7	19	0	13	0	17	26	31	140	0	0	116	0	28	0	0	18	0	68	41	0	50	163	97	0	0	0	129	30	0	38	98	0	0	0	68	0	0	0	30	0	0	23	25	0	0	0	0	0	34	0	10	0	0	149	21	0	0	6	0	0	0	0	27	217	0	0	0	74	0	0	0	0	0	0	47	318	27	34	0	0	33	42	793	34	0	0	60	0	0	0	0	0	112	0	12	0	640	47	0	28	0	0	48	305	0	0	96	120	0	312	79	8	42	13	0	0	0	118	156	0
SV_8	0	0	0	0	159	0	96	0	0	0	0	0	0	179	0	0	0	30	143	0	0	0	0	38	80	0	0	285	0	0	0	0	0	0	0	0	0	0	148	0	0	0	34	0	0	108	0	114	0	0	0	0	0	0	304	0	229	186	55	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	420	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	0	0	0	0	198	0	69	277	0	0	0	344	0	0	0	0	0	0	0	96	33	0	0	0
SV_9	232	138	77	54	0	0	31	0	0	0	0	39	0	206	44	69	0	99	125	140	0	85	0	0	156	0	0	0	0	0	59	97	0	73	0	172	0	0	0	0	17	128	0	157	0	0	0	0	66	0	0	0	0	178	0	53	0	0	107	125	0	0	33	0	78	190	0	53	0	0	0	34	0	0	112	0	32	0	0	0	0	24	0	0	0	0	0	0	0	87	0	39	0	143	0	0	0	47	131	0	149	129	0	248	0	26	0	31	0	70	0	19	32	93	0	0	0	0	0	0
SV_10	0	0	55	0	0	0	0	0	83	15	0	0	33	75	0	0	0	0	68	72	294	0	0	34	33	0	395	21	0	166	38	0	0	3	48	17	208	0	159	7	19	6	0	0	45	0	0	0	0	1032	0	279	0	0	0	0	19	0	59	60	66	0	17	0	0	0	39	72	0	46	23	0	60	0	0	0	0	0	21	0	0	0	174	33	0	0	26	0	0	0	45	106	194	0	0	31	0	10	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	11	0	14	36	0
