asv	SRR1792540	SRR1792541	SRR1792543	SRR1792544	SRR1792545	SRR1792546	SRR1792547	SRR1792548	SRR1792549	SRR1792550	SRR1792551	SRR1792552	SRR1792553	SRR1792554	SRR1792555	SRR1792556	SRR1792557	SRR1792558	SRR1792559	SRR1792560	SRR1792561	SRR1792562	SRR1792563	SRR1792564	SRR1792565	SRR1792566	SRR1792567	SRR1792578	SRR1792579	SRR1792580	SRR1792581	SRR1792583	SRR1792584	SRR1792586	SRR1792587	SRR1792592
SV_1	0	231	200	0	0	0	0	0	0	0	0	0	0	0	337	0	221	94	1172	23	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_2	0	0	0	0	0	255	1683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_3	33	0	5	0	0	0	0	0	23	0	0	0	0	0	0	39	0	0	0	0	0	177	0	0	0	223	305	325	0	0	0	0	409	0	0	0
SV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	0	0	0	0	20	0	0	0	0
SV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1152	0	0	0	0	0	0	0	0	0	0	27
SV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	1085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1105	0	0	0	0
SV_8	0	0	0	0	0	0	0	299	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	192	113
SV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	0	0
SV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913
SV_11	0	0	0	0	0	0	0	645	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128
SV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	652	0	0	0
SV_13	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	286	0	96	0	0	39	0	0	95	0	0	0
SV_14	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744	0	0	0	0	0	0	0	0	0	0	0
SV_15	0	0	0	0	0	37	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	54	46	48	182	0	0	0	0	88	0	0	93
SV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_17	0	0	0	0	0	84	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	27	0	0	0	0	37	0	0	0	0	398	108	0	0	18	0	58	0	0
SV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	76	107	0	0	0	0	0	40	0	67
SV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	0	0	0	0	0	0	0	0	0	0
SV_21	0	0	0	0	442	0	0	151	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0
SV_23	0	23	0	0	0	0	0	0	0	0	0	0	12	0	54	0	9	0	0	0	0	0	0	0	0	0	459	0	0	0	0	64	0	0	0	0
SV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	36	0	0	0	360	0	0	0
SV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_26	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	91	0	0	42	0
SV_27	0	0	0	0	0	0	0	22	0	0	0	0	0	53	0	48	0	0	0	0	0	0	0	0	0	0	0	40	122	0	0	0	313	0	0	0
SV_28	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219
SV_29	67	0	0	0	0	0	0	0	0	83	0	0	0	0	299	0	40	0	0	53	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_30	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74
SV_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_32	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	40	0	0	0	0	0	0	0	0
SV_33	0	0	0	0	0	0	0	0	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	188
SV_35	0	0	0	0	51	0	0	0	0	0	0	0	0	0	305	140	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	0	0	0	0
SV_37	0	0	0	0	0	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_38	42	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	127	0	0	0
SV_39	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	83	0	0	0	0	0	0	0	0
SV_40	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_41	0	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0
SV_42	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_43	0	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	0
SV_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	15	0	0	0
SV_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	78	126	0	0	0
SV_50	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_51	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_52	0	0	0	0	208	0	0	97	0	0	0	0	0	0	0	43	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_53	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_54	49	0	0	0	0	51	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	101	0	0	0	0	0	0	50	42
SV_55	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_56	0	0	0	0	0	29	0	0	34	0	0	0	0	0	44	19	0	0	0	0	43	0	0	0	0	49	0	0	0	0	0	125	66	10	0	0
SV_57	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV_58	0	0	0	0	73	72	0	0	107	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
