taxon	ERR2391214	ERR2391215	ERR2391216	ERR2391217	ERR2391218	ERR2391219	ERR2391220	ERR2391221	ERR2391222	ERR2391223	ERR2391224	ERR2391225	ERR2391226	ERR2391227	ERR2391228	ERR3479091	ERR3501987	ERR3501988	ERR3501989	ERR3501990	ERR3501991	ERR3501992	ERR3501993	ERR3501994	ERR3501995	ERR3501996	ERR3501997	ERR3501998	ERR3501999	ERR3502000	ERR3502001	ERR3502002	ERR3502003	ERR3502004	ERR3502005	ERR3502006	ERR3502007	ERR3502008	ERR3502009	ERR3502010	ERR3502011	ERR3502012	ERR3502013	ERR3502014	ERR3502015	ERR3502016	ERR3502017	ERR3502018	ERR3502019	ERR3502020	ERR3502021	ERR3502022	ERR3502023	ERR3502024	ERR3502025	ERR3502026	ERR3502027	ERR3502028	ERR3502029
[Clostridium] hylemonae	630	879	2989	439	373	718	477	0	579	71	1465	196	63	2874	429	520	370	0	132	1215	11	3027	520	65	49	76	147	207	1071	235	152	220	24	222	88	0	65	361	549	2438	149	14	170	136	666	177	220	4558	47	217	202	1476	126	52	128	441	45	790	30
[Clostridium] innocuum	5384	7533	10835	8643	5215	22461	3521	12500	108784	2517	4402	12093	34286	22684	4646	197153	11687	371	4360	18832	20021	9755	67782	5562	4391	13942	2483	6845	1559	1613	946	1022	3681	3164	14678	7366	15175	2424	7874	12912	3049	992	18492	30002	3004	6216	925	1097	11101	2409	12859	3069	1486	3857	1827	11257	1395	4762	7506
[Clostridium] scindens	5592	3226	4924	747	2978	33219	9006	18750	92621	8760	1881	916	4457	1489	1468	2109	15904	369	1448	23411	1245	1723	2823	1883	818	6530	3068	15096	914	1928	332	682	4210	5277	1416	808	8166	1046	4356	6943	473	1046	1893	4099	3414	38548	1039	2607	16406	3936	924	1027	15381	2184	794	785	1031	16581	4982
[Clostridium] symbiosum	7065	168	5940	2270	962	33116	3416	13906	41067	329	262	20524	12067	660	250	8839	34580	52	581	14970	6384	1042	30958	3481	1188	2125	26066	29	54	2097	22	217	1774	41	3700	461	9193	324	2010	5452	2269	50	6219	2552	101	601	438	103	7722	9442	2419	306	140	1569	92	402	274	372	966
[Eubacterium] hominis	463	336	731	9436	298	4595	211	266	762	766	95	43	756	3044	404	7660	49	0	178	739	491	244	1968	97	1286	49	917	299	88	56	16	44	367	156	12	23	63	422	631	308	4983	275	1433	874	240	239	47	299	58	136	550	391	116	518	152	389	77	957	275
[Ruminococcus] lactaris	1833	15506	1988	76483	1597	2811	1539	544	489	1445	89691	262	1021	50837	4351	1211	31875	215	445	2690	386	104743	7019	20598	9706	50452	891	18023	53655	332	869	14233	2042	267555	54831	3439	743	1423	44213	1959	1754	125265	1498	1187	5952	1443	34507	2773	3620	882	1676	12405	21048	1136	18015	421	10743	1097	7738
[Ruminococcus] torques	80566	92185	84128	30169	71687	513700	13316	2055	51042	95647	370626	1597	136126	53641	25673	12396	18903	782	17200	19283	14208	3575	647971	120344	343032	12998	3928	305176	15789	5641	124116	45716	149342	173002	2944	56868	862	71801	62106	92651	14644	64555	25193	68359	58531	97656	48927	41221	20713	50824	112116	108691	17134	59904	22559	3496	56754	46866	8825
Abiotrophia defectiva	180	82	29	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1724	0	12	0	0	0	19	0	0	78	0	0	0	0	14	11	0	102	0	87	0	20	0	0	0	29	78	0	0	0	0	38	23	154	218	0	0	0	0	0	26	0
Aceathervirus RM10	0	0	0	0	0	0	0	0	0	0	0	20	29	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter marplatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
