sample-id	study-id	group
DRR182673	adult subject 1	Adult
DRR182674	adult subject 2	Adult
DRR182675	adult subject 3	Adult
DRR182676	adult subject 4	Adult
DRR182677	adult subject 5	Adult
DRR182678	adult subject 6	Adult
DRR182679	adult subject 7	Adult
DRR182680	adult subject 8	Adult
DRR182681	adult subject 9	Adult
DRR182682	adult subject 10	Adult
DRR182683	adult subject 11	Adult
DRR182684	adult subject 12	Adult
DRR182685	adult subject 13	Adult
DRR182686	adult subject 14	Adult
DRR182687	adult subject 15	Adult
DRR182688	adult subject 16	Adult
DRR182689	adult subject 17	Adult
DRR182690	adult subject 18	Adult
DRR182691	adult subject 19	Adult
DRR182692	adult subject 20	Adult
DRR182693	adult subject 21	Adult
DRR182694	adult subject 22	Adult
DRR182695	adult subject 23	Adult
DRR182696	adult subject 24	Adult
DRR182697	adult subject 25	Adult
DRR182698	adult subject 27	Adult
DRR182699	adult subject 28	Adult
DRR182700	adult subject 29	Adult
DRR182701	adult subject 30	Adult
DRR182702	adult subject 31	Adult
DRR182703	elderly subject 1	Elderly
DRR182704	elderly subject 2	Elderly
DRR182705	elderly subject 3	Elderly
DRR182706	elderly subject 4	Elderly
DRR182707	elderly subject 5	Elderly
DRR182708	elderly subject 6	Elderly
DRR182709	elderly subject 7	Elderly
DRR182710	elderly subject 8	Elderly
DRR182711	elderly subject 9	Elderly
DRR182712	elderly subject 10	Elderly
DRR182713	elderly subject 11	Elderly
DRR182714	elderly subject 12	Elderly
DRR182715	elderly subject 13	Elderly
DRR182716	elderly subject 14	Elderly
DRR182717	elderly subject 15	Elderly
DRR182718	elderly subject 16	Elderly
DRR182719	elderly subject 17	Elderly
DRR182720	elderly subject 18	Elderly
DRR182721	elderly subject 19	Elderly
DRR182722	elderly subject 20	Elderly
DRR182723	elderly subject 21	Elderly
DRR182724	elderly subject 22	Elderly
DRR182725	elderly subject 23	Elderly
DRR182726	elderly subject 24	Elderly
DRR182727	elderly subject 25	Elderly
DRR182728	elderly subject 26	Elderly
DRR182729	elderly subject 27	Elderly
DRR182730	elderly subject 28	Elderly
DRR182731	elderly subject 30	Elderly
