sample-id	age	sex	group	subgroup
SRR3679926	46	Female	Young 	Young adult 
SRR3679927	60	Female	Young 	Young adult 
SRR3679928	51	Male	Young 	Young adult 
SRR3679929	72	Female	Young 	Elderly 
SRR3679930	63	Female	Young 	Young adult 
SRR3679931	67	Female	Young 	Elderly 
SRR3679932	39	Male	Young 	Young adult 
SRR3679933	35	Female	Young 	Young adult 
SRR3679934	62	Female	Young 	Young adult 
SRR3679935	53	Male	Young 	Young adult 
SRR3679936	61	Male	Young 	Young adult 
SRR3679937	40	Male	Young 	Young adult 
SRR3679938	46	Male	Young 	Young adult 
SRR3679939	62	Female	Young 	Young adult 
SRR3679940	69	Female	Young 	Elderly 
SRR3679941	67	Female	Young 	Elderly 
SRR3679942	60	Male	Young 	Young adult 
SRR3679943	58	Female	Young 	Young adult 
SRR3679944	51	Female	Young 	Young adult 
SRR3679945	63	Male	Young 	Young adult 
SRR3679946	62	Male	Young 	Young adult 
SRR3679947	57	Female	Young 	Young adult 
SRR3679948	35	Male	Young 	Young adult 
SRR3679949	46	Male	Young 	Young adult 
SRR3679950	69	Female	Young 	Elderly 
SRR3679951	51	Male	Young 	Young adult 
SRR3679952	53	Female	Young 	Young adult 
SRR3679953	46	Female	Young 	Young adult 
SRR3679954	50	Female	Young 	Young adult 
SRR3679955	57	Male	Young 	Young adult 
SRR3679956	59	Male	Young 	Young adult 
SRR3679957	40	Female	Young 	Young adult 
SRR3679958	25	Female	Young 	Young adult 
SRR3679959	96	Female	Long-living 	Nonagenarians 
SRR3679960	92	Female	Long-living 	Nonagenarians 
SRR3679961	102	Female	Long-living 	Centenarians 
SRR3679962	94	Female	Long-living 	Nonagenarians 
SRR3679963	100	Female	Long-living 	Centenarians 
SRR3679964	94	Female	Long-living 	Nonagenarians 
SRR3679965	90	Female	Long-living 	Nonagenarians 
SRR3679966	98	Female	Long-living 	Nonagenarians 
SRR3679967	92	Female	Long-living 	Nonagenarians 
SRR3679968	90	Male	Long-living 	Nonagenarians 
SRR3679969	90	Female	Long-living 	Nonagenarians 
SRR3679970	91	Female	Long-living 	Nonagenarians 
SRR3679971	91	Male	Long-living 	Nonagenarians 
SRR3679972	91	Male	Long-living 	Nonagenarians 
SRR3679973	91	Female	Long-living 	Nonagenarians 
SRR3679974	93	Female	Long-living 	Nonagenarians 
SRR3679975	90	Male	Long-living 	Nonagenarians 
SRR3679976	94	Male	Long-living 	Nonagenarians 
SRR3679977	93	Male	Long-living 	Nonagenarians 
SRR3679978	97	Female	Long-living 	Nonagenarians 
SRR3679979	92	Female	Long-living 	Nonagenarians 
SRR3679980	101	Female	Long-living 	Centenarians 
SRR3679981	94	Female	Long-living 	Nonagenarians 
SRR3679982	97	Male	Long-living 	Nonagenarians 
SRR3679983	92	Female	Long-living 	Nonagenarians 
SRR3679984	90	Female	Long-living 	Nonagenarians 
SRR3679985	96	Female	Long-living 	Nonagenarians 
SRR3679986	92	Male	Long-living 	Nonagenarians 
SRR3679987	90	Female	Long-living 	Nonagenarians 
SRR3679988	90	Female	Long-living 	Nonagenarians 
SRR3679989	90	Female	Long-living 	Nonagenarians 
SRR3679990	91	Female	Long-living 	Nonagenarians 
SRR3679991	91	Male	Long-living 	Nonagenarians 
SRR3679992	90	Male	Long-living 	Nonagenarians 
SRR3679993	92	Male	Long-living 	Nonagenarians 
SRR3679994	91	Female	Long-living 	Nonagenarians 
SRR3679995	94	Male	Long-living 	Nonagenarians 
SRR3679996	96	Female	Long-living 	Nonagenarians 
SRR3679997	94	Male	Long-living 	Nonagenarians 
SRR3679998	90	Female	Long-living 	Nonagenarians 
SRR3679999	93	Female	Long-living 	Nonagenarians 
SRR3680000	91	Male	Long-living 	Nonagenarians 
SRR3680001	100	Male	Long-living 	Centenarians 
SRR3680002	91	Female	Long-living 	Nonagenarians 
SRR3680003	91	Male	Long-living 	Nonagenarians 
