sample-id	group
SRR1792540	Child
SRR1792541	Child
SRR1792543	Child
SRR1792544	Child
SRR1792545	Child
SRR1792546	Child
SRR1792547	Child
SRR1792548	Child
SRR1792549	Child
SRR1792550	Child
SRR1792551	Child
SRR1792552	Child
SRR1792553	Child
SRR1792554	Child
SRR1792555	Child
SRR1792556	Child
SRR1792557	Child
SRR1792558	Child
SRR1792559	Child
SRR1792560	Child
SRR1792561	Child
SRR1792562	 40s
SRR1792563	 40s
SRR1792564	 40s
SRR1792565	 40s
SRR1792566	 40s
SRR1792567	 40s
SRR1792578	 50s
SRR1792579	 50s
SRR1792580	 50s
SRR1792581	 50s
SRR1792583	 50s
SRR1792584	 50s
SRR1792586	 50s
SRR1792587	 50s
SRR1792592	 60s
