taxon	total	mean	median
Phocaeicola vulgatus	53448896	905913.491525424	449692
Bacteroides uniformis	36895499	625347.440677966	392821
Faecalibacterium prausnitzii	29028831	492014.084745763	346948
Blautia wexlerae	25764003	436678.016949153	280800
Dorea longicatena	14524074	246170.745762712	142683
Anaerobutyricum hallii	16562585	280721.779661017	121921
Alistipes putredinis	10925044	185170.237288136	117610
Agathobacter rectalis	26696454	452482.271186441	102711
Parabacteroides distasonis	8323503	141076.322033898	81180
Blautia obeum	7675495	130093.13559322	78422
Anaerostipes hadrus	13643892	231252.406779661	75016
Bacteroides xylanisolvens	8342979	141406.423728814	63700
Collinsella aerofaciens	8267729	140131	61702
Parabacteroides merdae	7150751	121199.169491525	60297
Roseburia faecis	28563766	484131.627118644	53981
Roseburia intestinalis	16504710	279740.847457627	52389
Alistipes shahii	5954661	100926.457627119	51933
[Ruminococcus] torques	4869760	82538.3050847458	50824
Phocaeicola dorei	13001568	220365.559322034	50816
Bifidobacterium longum	17571915	297829.06779661	48349
Alistipes onderdonkii	11767659	199451.847457627	46979
Bacteroides caccae	6233606	105654.338983051	43984
Mediterraneibacter gnavus	3890457	65939.9491525424	40698
Faecalibacterium duncaniae	3429678	58130.1355932203	39907
Coprococcus comes	4997191	84698.1525423729	38247
Odoribacter splanchnicus	2942890	49879.4915254237	38062
Faecalibacterium taiwanense	3204483	54313.2711864407	37429
Bacteroides ovatus	7028691	119130.355932203	34216
Blautia massiliensis (ex Durand et al. 2017)	3551538	60195.5593220339	32861
Bacteroides thetaiotaomicron	5295955	89761.9491525424	31867
Ruminococcus sp. SR1/5	4653543	78873.6101694915	26855
Faecalibacterium sp. IP-3-29	2467073	41814.7966101695	23739
Faecalibacterium sp. IP-1-18	2242792	38013.4237288136	23507
Bacteroides fragilis	3468148	58782.1694915254	22116
Dysosmobacter welbionis	1634504	27703.4576271186	21143
Bilophila wadsworthia	1530576	25941.9661016949	19245
Streptococcus salivarius	7186862	121811.220338983	17381
Lachnospira eligens	4358291	73869.3389830509	17097
Oscillibacter sp. PEA192	1192878	20218.2711864407	16871
Escherichia coli	18764303	318039.033898305	16083
Flavonifractor plautii	1857978	31491.1525423729	15710
Faecalibacterium sp. I4-3-84	2221184	37647.186440678	15545
Bifidobacterium adolescentis	9653151	163612.728813559	15541
Barnesiella intestinihominis	4880269	82716.4237288136	14982
Faecalibacterium sp. i21-0019-B1	2567354	43514.4745762712	14506
Alistipes communis	1705943	28914.2881355932	14142
Dorea formicigenerans	1491568	25280.813559322	13436
Faecalibacterium sp. I2-3-92	1219671	20672.3898305085	13302
Simiaoa sunii	5596138	94849.7966101695	12768
Faecalibacterium hominis (ex Afrizal et al. 2022)	1371488	23245.5593220339	12633
Blautia luti	913678	15486.0677966102	12399
Vescimonas coprocola	1814635	30756.5254237288	11402
